ACT_ID,DESCR,ANALYSIS_YR,STREAM_ID,AREA,SPECIES,SEN_STATUS,ESTIMATE_CLASSIFICATION,ESTIMATE_METHOD,WATERSHED_CDE,ESTIMATE_STAGE,SPL_ID,SEN_PRESENCE_ADULT,SEN_PRESENCE_JACK,NATURAL_ADULT_SPAWNERS,NATURAL_JACK_SPAWNERS,NATURAL_SPAWNERS_TOTAL,ADULT_BROODSTOCK_REMOVALS,JACK_BROODSTOCK_REMOVALS,TOTAL_BROODSTOCK_REMOVALS,OTHER_REMOVALS,TOTAL_RETURN_TO_RIVER,UNSPECIFIED_RETURN,NO_INSPECTIONS_USED,POPULATION,MAX_ESTIMATE,RUN_TYPE,SEN_NUSEDS1_ENUM_METHOD1,SEN_NUSEDS1_ENUM_METHOD2,SEN_NUSEDS1_ENUM_METHOD3,SEN_NUSEDS1_ENUM_METHOD4,SEN_NUSEDS1_ENUM_METHOD5,SEN_NUSEDS1_ENUM_METHOD6,EFFECTIVE_FEMALES,WEIGHTED_PCT_SPAWN,OTHER_ADULT_REMOVALS,OTHER_JACK_REMOVALS,TOT_ADULT_RET_RIVER,TOT_JACK_RET_RIVER,JUV_PRES_TYP,GEOGRAPHICAL_EXTNT_OF_ESTIMATE,POP_ID,CU_NAME,CU_INDEX,CU_TYPE,SPECIES_QUALIFIED,SBJ_ID
868071,Silverdale Creek (Mission) Pink 1959,1959,36,29D,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-051900-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8440556,PRESENT,UNKNOWN,,,,,,,,,68,,Silverdale Creek (Mission) Pink,68,,,,,,,,,,,,,,,SILVERDALE CREEK,48011,FRASER RIVER,1,Current,PKO,7389
1021269,Hunter Creek (Chilliwack) Pink 1971,1971,110,29E,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-106400-00000-00000-0000-0000-000-000-000-000-000-000,FINAL,8593754,PRESENT,UNKNOWN,,,,,,,,,411,,Hunter Creek (Chilliwack) Pink,411,,,,,,,,,,,,,,,HUNTER CREEK,47115,FRASER RIVER,1,Current,PKO,7389
970666,Bridge River (Lillooet) Pink Run 1 1969,1969,133,29F,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-241900-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8543151,PRESENT,UNKNOWN,,,,,,,,,13034,,Bridge River (Lillooet) Pink Run 1,13034,1,,,,,,,,,,,,,,BRIDGE RIVER,47225,FRASER RIVER,1,Current,PKO,7389
1017927,Depot Creek (Chilliwack) Pink 1985,1985,85,29E,Pink,RELEASED,UNKNOWN,Not Applicable,100-065700-09700-72300-0000-0000-000-000-000-000-000-000,FINAL,8590412,NONE OBSERVED,UNKNOWN,,,,,,,,,0,,Depot Creek (Chilliwack) Pink,0,,,,,,,,,,,,,,,DEPOT CREEK,47068,FRASER RIVER,1,Current,PKO,7389
760219,Chilliwack River (Chilliwack) Pink 1965,1965,62,29E,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-065700-09700-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8332704,PRESENT,UNKNOWN,,,,,,,,,188843,,Chilliwack River (Chilliwack) Pink,188843,,,,,,,,,,,,,,,CHILLIWACK RIVER,46983,FRASER RIVER,1,Current,PKO,7389
790947,Chehalis River (Mission) Pink 1963,1963,181,29D,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,110-090200-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8363432,PRESENT,UNKNOWN,,,,,,,,,12394,,Chehalis River (Mission) Pink,12394,,,,,,,,,,,,,,,CHEHALIS RIVER,46040,FRASER RIVER,1,Current,PKO,7389
876307,Paleface Creek (Chilliwack) Pink 1979,1979,84,29E,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-065700-09700-70600-0000-0000-000-000-000-000-000-000,FINAL,8448792,PRESENT,UNKNOWN,,,,,,,,,16,,Paleface Creek (Chilliwack) Pink,16,,,,,,,,,,,,,,,PALEFACE CREEK,47066,FRASER RIVER,1,Current,PKO,7389
775879,Paleface Creek (Chilliwack) Pink 1965,1965,84,29E,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-065700-09700-70600-0000-0000-000-000-000-000-000-000,NEAR FINAL,8348364,PRESENT,UNKNOWN,,,,,,,,,39,,Paleface Creek (Chilliwack) Pink,39,,,,,,,,,,,,,,,PALEFACE CREEK,47066,FRASER RIVER,1,Current,PKO,7389
1194801485,Harrison River (Mission) Pink 1969,1969,179,29D,Pink,RELEASED,TRUE ABUNDANCE (TYPE-2),Mark & Recapture: Petersen,110-000000-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,1336909501,PRESENT,NONE OBSERVED,96390,0,96390,0,0,0,0,96390,,27,Harrison River (Mission) Pink,96390,,,,,,,,,,,,,,,HARRISON RIVER,46032,FRASER RIVER,1,Current,PKO,7389
811167,Lorenzetta Creek (Chilliwack) Pink 1983,1983,107,29E,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-102000-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8383652,PRESENT,UNKNOWN,,,,,,,,,143,,Lorenzetta Creek (Chilliwack) Pink,143,,,,,,,,,,,,,,,LORENZETTA CREEK,47104,FRASER RIVER,1,Current,PKO,7389
969450,North Thompson River (Clearwater) Pink Run 1 1987,1987,256,29J,Pink,RELEASED,UNKNOWN,Not Applicable,129-000000-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8541935,NONE OBSERVED,UNKNOWN,,,,,,,,,0,,North Thompson River (Clearwater) Pink Run 1,0,1,,,,,,,,,,,,,,NORTH THOMPSON RIVER,46584,FRASER RIVER,1,Current,PKO,7389
779144,Fraser River (Mission) Pink 1965,1965,1,29D,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-000000-00000-00000-0000-0000-000-000-000-000-000-000,FINAL,8351629,PRESENT,UNKNOWN,,,,,,,,,543757,,Fraser River (Mission) Pink,543757,,,,,,,,,,,,,,,FRASER RIVER,47235,FRASER RIVER,1,Current,PKO,7389
727923,Bonaparte River (Lillooet) Pink Run 1 1989,1989,216,29F,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,120-506800-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8300408,PRESENT,UNKNOWN,,,,,,,,,608,,Bonaparte River (Lillooet) Pink Run 1,608,1,,,,,,,,,,,,,,BONAPARTE RIVER,46202,FRASER RIVER,1,Current,PKO,7389
858200,Nahatlatch River (Lillooet) Pink Run 1 1967,1967,125,29F,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-170100-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8430685,PRESENT,UNKNOWN,,,,,,,,,31,,Nahatlatch River (Lillooet) Pink Run 1,31,1,,,,,,,,,,,,,,NAHATLATCH RIVER,47161,FRASER RIVER,1,Current,PKO,7389
779154,Fraser River (Mission) Pink 1983,1983,1,29D,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-000000-00000-00000-0000-0000-000-000-000-000-000-000,FINAL,8351639,PRESENT,UNKNOWN,,,,,,,,,3307834,,Fraser River (Mission) Pink,3307834,,,,,,,,,,,,,,,FRASER RIVER,47235,FRASER RIVER,1,Current,PKO,7389
969849,Thompson River (Lillooet) Pink Run 1 1961,1961,211,29F,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,120-000000-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8542334,PRESENT,UNKNOWN,,,,,,,,,69179,,Thompson River (Lillooet) Pink Run 1,69179,1,,,,,,,,,,,,,,THOMPSON RIVER,46161,FRASER RIVER,1,Current,PKO,7389
