"CU_Name","CU_acro","DU_ID","CU_ID","Pop_Name","Pop_ID","Year","EstClass","TotalInfilled","StartYear","UseYear"
"Fraser-Cross-CU Supplementation Exclusion","FR-XCU","DU_NA","CK-9006","ALOUETTE RIVER",294,2005,"QualFiltered",NA,NA,TRUE
"Fraser-Cross-CU Supplementation Exclusion","FR-XCU","DU_NA","CK-9006","ALOUETTE RIVER",294,2006,"QualFiltered",NA,NA,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1996,"OtherSource",123,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1997,"OtherSource",381,1979,TRUE
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1985,"RELATIVE ABUNDANCE (TYPE-4)",1492,1986,FALSE
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1986,"RELATIVE ABUNDANCE (TYPE-4)",4291,1986,TRUE
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1987,"RELATIVE ABUNDANCE (TYPE-4)",16790,1986,TRUE
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1988,"RELATIVE ABUNDANCE (TYPE-4)",14466,1986,TRUE
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1989,"RELATIVE ABUNDANCE (TYPE-4)",2933,1986,TRUE
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1990,"RELATIVE ABUNDANCE (TYPE-4)",1570,1986,TRUE
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1991,"RELATIVE ABUNDANCE (TYPE-4)",8392,1986,TRUE
