"CU","SiteName","popID","rtnYear","EstClass","MissEscCode","SumSpnEstimates_ADonly","SumSpnEstimates_ADinfilled","NatSpwnAD","NatSpwnJA","NatSpwnUNK","BroodStockAD","BroodStockJA","BroodStockUNK","TotRtnRiver","HatchOriginAD","HatchOriginJA","SumSpnEstimates_withJacks","SumSpnEstimates_pC","Comment","EstClassOrig"
"CK-9006","ALOUETTE RIVER",294,2019,"OtherSource","","2","","","","","2","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,1980,"OtherSource","","18","18","18","9","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,1981,"OtherSource","","83","83","83","30","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,1982,"OtherSource","","75","75","75","6","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,1983,"OtherSource","","57","57","57","36","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,1984,"OtherSource","","155","155","155","33","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,1985,"OtherSource","","150","150","150","44","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,1986,"OtherSource","","36","36","36","3","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,1987,"OtherSource","","4","4","4","1","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,1988,"OtherSource","","37","37","37","17","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,1990,"OtherSource","","58","58","58","28","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,1991,"OtherSource","","88","88","88","14","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,1992,"OtherSource","","19","19","19","50","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,1993,"OtherSource","","34","34","34","9","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,1994,"OtherSource","","34","34","34","20","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,1995,"OtherSource","","103","103","103","12","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,1996,"OtherSource","","201","201","123","30","","78","78","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,1997,"OtherSource","","440","440","381","381","","59","59","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,1998,"OtherSource","","173","173","173","12","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,1999,"OtherSource","","73","73","73","12","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,2000,"OtherSource","","186","186","186","40","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,2001,"OtherSource","","150","150","150","13","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,2002,"OtherSource","","76","76","76","27","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,2003,"OtherSource","","115","115","115","24","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,2004,"OtherSource","","60","60","60","14","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,2005,"OtherSource","","45","45","45","41","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,2006,"OtherSource","","46","46","46","49","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,2007,"OtherSource","","112","112","112","34","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,2008,"OtherSource","","31","31","31","3","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,2009,"OtherSource","","65","65","65","86","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,2010,"OtherSource","","317","317","317","156","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,2011,"OtherSource","","266","266","266","122","","","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,2012,"OtherSource","","319","319","300","49","","19","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,2013,"OtherSource","","366","366","346","228","","20","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,2014,"OtherSource","","284","284","264","60","","20","","","","","","","","","OtherSource"
