"popID","rtnYear","EstClass","MissEscCode","SumSpnEstimates_ADonly","SumSpnEstimates_ADinfilled","NatSpwnAD","NatSpwnJA","NatSpwnUNK","BroodStockAD","BroodStockJA","BroodStockUNK","TotRtnRiver","HatchOriginAD","HatchOriginJA","SumSpnEstimates_withJacks","SumSpnEstimates_pC","Comment"
696,1990,"RELATIVE ABUNDANCE (TYPE-4)",NA,1570,NA,1570,1570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,1991,"RELATIVE ABUNDANCE (TYPE-4)",NA,8392,NA,8392,8392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,1992,"RELATIVE ABUNDANCE (TYPE-4)",NA,35856,NA,35856,35856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,1993,"RELATIVE ABUNDANCE (TYPE-4)",NA,17834,NA,17834,17834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,1994,"RELATIVE ABUNDANCE (TYPE-4)",NA,6826,NA,6826,6826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,1995,"RELATIVE ABUNDANCE (TYPE-4)",NA,29820,NA,29820,29820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,1996,"RELATIVE ABUNDANCE (TYPE-4)",NA,21928,NA,21928,21928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,1997,"RELATIVE ABUNDANCE (TYPE-4)",NA,79717,NA,79717,79717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,1998,"RELATIVE ABUNDANCE (TYPE-4)",NA,78780,NA,78780,78780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,1999,"RELATIVE ABUNDANCE (TYPE-4)",NA,74945,NA,74945,74945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2000,"TRUE ABUNDANCE (TYPE-2)",NA,70983,NA,70983,70983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2001,"RELATIVE ABUNDANCE (TYPE-4)",NA,68247,NA,68247,68247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2002,"RELATIVE ABUNDANCE (TYPE-4)",NA,58852,NA,58852,58852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2003,"RELATIVE ABUNDANCE (TYPE-4)",NA,54111,NA,54111,54111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2004,"RELATIVE ABUNDANCE (TYPE-4)",NA,54485,NA,54485,54485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2005,"RELATIVE ABUNDANCE (TYPE-4)",NA,31099,NA,31099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2006,"RELATIVE ABUNDANCE (TYPE-4)",NA,41312,NA,41312,41312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2007,"RELATIVE ABUNDANCE (TYPE-4)",NA,23514,NA,23514,23514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2008,"RELATIVE ABUNDANCE (TYPE-4)",NA,35732,NA,35732,35732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2009,"RELATIVE ABUNDANCE (TYPE-4)",NA,14116,NA,14116,14116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2010,"RELATIVE ABUNDANCE (TYPE-4)",NA,74947,NA,74947,74947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2011,"RELATIVE ABUNDANCE (TYPE-4)",NA,47986,NA,47986,47986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2012,"RELATIVE ABUNDANCE (TYPE-4)",NA,14566,NA,14566,14566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2013,"RELATIVE ABUNDANCE (TYPE-4)",NA,45713,NA,45713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2014,"RELATIVE ABUNDANCE (TYPE-4)",NA,49904,NA,49904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2015,"RELATIVE ABUNDANCE (TYPE-4)",NA,25849,NA,25849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2016,"RELATIVE ABUNDANCE (TYPE-4)",NA,34397,NA,34397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2017,"RELATIVE ABUNDANCE (TYPE-4)",NA,20184,NA,20184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2018,"RELATIVE ABUNDANCE (TYPE-4)",NA,17810,NA,17810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2019,"RELATIVE ABUNDANCE (TYPE-4)",NA,70366,NA,70366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2020,"RELATIVE ABUNDANCE (TYPE-4)",NA,35795,NA,35795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2021,"RELATIVE ABUNDANCE (TYPE-4)",NA,52868,NA,52868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,2022,"RELATIVE ABUNDANCE (TYPE-4)",NA,56170,NA,56170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,1996,"RELATIVE ABUNDANCE (TYPE-4)",NA,10,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,1998,"RELATIVE ABUNDANCE (TYPE-4)",NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,2000,"RELATIVE ABUNDANCE (TYPE-4)",NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,2001,"RELATIVE ABUNDANCE (TYPE-3)",NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,2002,"RELATIVE ABUNDANCE (TYPE-3)",NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,2003,"RELATIVE ABUNDANCE (TYPE-3)",NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,2004,"RELATIVE ABUNDANCE (TYPE-3)",NA,8,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,2005,"RELATIVE ABUNDANCE (TYPE-4)",NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,2006,"RELATIVE ABUNDANCE (TYPE-3)",NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,2007,"RELATIVE ABUNDANCE (TYPE-3)",NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,2008,"RELATIVE ABUNDANCE (TYPE-4)",NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,2009,"RELATIVE ABUNDANCE (TYPE-3)",NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,2010,"RELATIVE ABUNDANCE (TYPE-3)",NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,2011,"RELATIVE ABUNDANCE (TYPE-3)",NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,2012,"RELATIVE ABUNDANCE (TYPE-3)",NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,2013,"RELATIVE ABUNDANCE (TYPE-3)",NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,2014,"RELATIVE ABUNDANCE (TYPE-3)",NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,2015,"RELATIVE ABUNDANCE (TYPE-4)",NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,2016,"RELATIVE ABUNDANCE (TYPE-4)",NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,2017,"RELATIVE ABUNDANCE (TYPE-3)",NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,2018,"RELATIVE ABUNDANCE (TYPE-4)",NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,2019,"RELATIVE ABUNDANCE (TYPE-4)",NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,2021,"RELATIVE ABUNDANCE (TYPE-4)",NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,2022,"RELATIVE ABUNDANCE (TYPE-4)",NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,1975,"QualFiltered",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,1977,"QualFiltered",NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,1979,"QualFiltered",NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,1981,"QualFiltered",NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,1982,"QualFiltered",NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,1983,"QualFiltered",NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,1984,"QualFiltered",NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,1985,"QualFiltered",NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,1986,"QualFiltered",NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,1987,"QualFiltered",NA,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,1988,"QualFiltered",NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,1989,"QualFiltered",NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,1990,"QualFiltered",NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,1991,"QualFiltered",NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,1992,"QualFiltered",NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,1993,"QualFiltered",NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,1994,"QualFiltered",NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,1996,"QualFiltered",NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,1998,"RELATIVE ABUNDANCE (TYPE-4)",NA,64,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,2000,"RELATIVE ABUNDANCE (TYPE-4)",NA,18,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,2001,"RELATIVE ABUNDANCE (TYPE-4)",NA,35,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,2002,"QualFiltered",NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,2003,"RELATIVE ABUNDANCE (TYPE-4)",NA,52,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,2004,"RELATIVE ABUNDANCE (TYPE-4)",NA,62,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,2005,"RELATIVE ABUNDANCE (TYPE-4)",NA,12,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,2006,"RELATIVE ABUNDANCE (TYPE-4)",NA,25,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,2007,"RELATIVE ABUNDANCE (TYPE-4)",NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,2008,"RELATIVE ABUNDANCE (TYPE-4)",NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,2009,"RELATIVE ABUNDANCE (TYPE-4)",NA,94,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,2010,"RELATIVE ABUNDANCE (TYPE-4)",NA,9,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,2011,"RELATIVE ABUNDANCE (TYPE-4)",NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,2012,"RELATIVE ABUNDANCE (TYPE-4)",NA,23,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,2013,"RELATIVE ABUNDANCE (TYPE-4)",NA,35,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,2014,"RELATIVE ABUNDANCE (TYPE-4)",NA,37,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,2015,"RELATIVE ABUNDANCE (TYPE-4)",NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,2016,"RELATIVE ABUNDANCE (TYPE-4)",NA,9,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,2017,"RELATIVE ABUNDANCE (TYPE-4)",NA,28,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,2018,"RELATIVE ABUNDANCE (TYPE-4)",NA,20,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,2021,"QualFiltered",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,1995,"RELATIVE ABUNDANCE (TYPE-4)",NA,8,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,1996,"RELATIVE ABUNDANCE (TYPE-4)",NA,14,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,1997,"RELATIVE ABUNDANCE (TYPE-4)",NA,45,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,1998,"RELATIVE ABUNDANCE (TYPE-4)",NA,18,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,2000,"RELATIVE ABUNDANCE (TYPE-4)",NA,15,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,2001,"RELATIVE ABUNDANCE (TYPE-4)",NA,74,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,2002,"RELATIVE ABUNDANCE (TYPE-4)",NA,126,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,2003,"RELATIVE ABUNDANCE (TYPE-4)",NA,48,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,2004,"RELATIVE ABUNDANCE (TYPE-4)",NA,54,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,2005,"RELATIVE ABUNDANCE (TYPE-4)",NA,17,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,2006,"RELATIVE ABUNDANCE (TYPE-4)",NA,72,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,2007,"RELATIVE ABUNDANCE (TYPE-4)",NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,2008,"RELATIVE ABUNDANCE (TYPE-4)",NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,2009,"RELATIVE ABUNDANCE (TYPE-4)",NA,86,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,2010,"RELATIVE ABUNDANCE (TYPE-4)",NA,14,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,2011,"RELATIVE ABUNDANCE (TYPE-4)",NA,11,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,2012,"RELATIVE ABUNDANCE (TYPE-4)",NA,25,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
