CU_ID,Species,Stock,DataType,Label,Year,Metric,Compare,LBM,UBM,Value,Status
CK-09,Chinook,Middle Fraser River-Portage_FA_1.3,Rel_Idx,SpnForAbd_Wild,2012,LongTrend,77,50,75,77,Green
CK-09,Chinook,Middle Fraser River-Portage_FA_1.3,Rel_Idx,SpnForAbd_Wild,2012,PercChange,-67,-25,-15,-67,Red
CK-09,Chinook,Middle Fraser River-Portage_FA_1.3,Rel_Idx,SpnForAbd_Wild,2012,RelLBM,NA,783,1523,NA,NA
CK-09,Chinook,Middle Fraser River-Portage_FA_1.3,Rel_Idx,SpnForAbd_Wild,2012,RelUBM,NA,783,1523,NA,NA
CK-10,Chinook,Middle Fraser River_SP_1.3,Rel_Idx,SpnForAbd_Wild,2012,AbsLBM,NA,1000,10000,NA,NA
CK-10,Chinook,Middle Fraser River_SP_1.3,Rel_Idx,SpnForAbd_Wild,2012,AbsUBM,NA,1000,10000,NA,NA
CK-10,Chinook,Middle Fraser River_SP_1.3,Rel_Idx,SpnForAbd_Wild,2012,IntStatus,NA,NA,NA,1,Red
CK-10,Chinook,Middle Fraser River_SP_1.3,Rel_Idx,SpnForAbd_Wild,2012,LongTrend,61,50,75,61,Amber
CK-10,Chinook,Middle Fraser River_SP_1.3,Rel_Idx,SpnForAbd_Wild,2012,PercChange,-68,-25,-15,-68,Red
CK-10,Chinook,Middle Fraser River_SP_1.3,Rel_Idx,SpnForAbd_Wild,2012,RelLBM,NA,11831,25048,NA,NA
CK-10,Chinook,Middle Fraser River_SP_1.3,Rel_Idx,SpnForAbd_Wild,2012,RelUBM,NA,11831,25048,NA,NA
CK-11,Chinook,Middle Fraser River_SU_1.3,Rel_Idx,SpnForAbd_Wild,2012,AbsLBM,NA,1000,10000,NA,NA
CK-11,Chinook,Middle Fraser River_SU_1.3,Rel_Idx,SpnForAbd_Wild,2012,AbsUBM,NA,1000,10000,NA,NA
CK-11,Chinook,Middle Fraser River_SU_1.3,Rel_Idx,SpnForAbd_Wild,2012,IntStatus,NA,NA,NA,3,Amber
CK-11,Chinook,Middle Fraser River_SU_1.3,Rel_Idx,SpnForAbd_Wild,2012,LongTrend,81,50,75,81,Green
CK-11,Chinook,Middle Fraser River_SU_1.3,Rel_Idx,SpnForAbd_Wild,2012,PercChange,-48,-25,-15,-48,Red
CK-11,Chinook,Middle Fraser River_SU_1.3,Rel_Idx,SpnForAbd_Wild,2012,RelLBM,NA,12855,28513,NA,NA
CK-11,Chinook,Middle Fraser River_SU_1.3,Rel_Idx,SpnForAbd_Wild,2012,RelUBM,NA,12855,28513,NA,NA
CK-12,Chinook,Upper Fraser River_SP_1.3,Rel_Idx,SpnForAbd_Wild,2012,AbsLBM,NA,1000,10000,NA,NA
CK-12,Chinook,Upper Fraser River_SP_1.3,Rel_Idx,SpnForAbd_Wild,2012,AbsUBM,NA,1000,10000,NA,NA
CK-12,Chinook,Upper Fraser River_SP_1.3,Rel_Idx,SpnForAbd_Wild,2012,IntStatus,NA,NA,NA,1,Red
CK-12,Chinook,Upper Fraser River_SP_1.3,Rel_Idx,SpnForAbd_Wild,2012,LongTrend,65,50,75,65,Amber
CK-12,Chinook,Upper Fraser River_SP_1.3,Rel_Idx,SpnForAbd_Wild,2012,PercChange,-62,-25,-15,-62,Red
CK-12,Chinook,Upper Fraser River_SP_1.3,Rel_Idx,SpnForAbd_Wild,2012,RelLBM,NA,13620,28994,NA,NA
CK-12,Chinook,Upper Fraser River_SP_1.3,Rel_Idx,SpnForAbd_Wild,2012,RelUBM,NA,13620,28994,NA,NA
CK-13,Chinook,South Thompson_SU_0.3,Rel_Idx,SpnForAbd_Wild,2012,AbsLBM,NA,1000,10000,NA,NA
CK-13,Chinook,South Thompson_SU_0.3,Rel_Idx,SpnForAbd_Wild,2012,AbsUBM,NA,1000,10000,NA,NA
CK-13,Chinook,South Thompson_SU_0.3,Rel_Idx,SpnForAbd_Wild,2012,IntStatus,NA,NA,NA,5,Green
CK-13,Chinook,South Thompson_SU_0.3,Rel_Idx,SpnForAbd_Wild,2012,LongTrend,128,50,75,128,Green
CK-13,Chinook,South Thompson_SU_0.3,Rel_Idx,SpnForAbd_Wild,2012,PercChange,40,-25,-15,40,Green
CK-13,Chinook,South Thompson_SU_0.3,Rel_Idx,SpnForAbd_Wild,2012,RelLBM,NA,55789,99820,NA,NA
CK-13,Chinook,South Thompson_SU_0.3,Rel_Idx,SpnForAbd_Wild,2012,RelUBM,NA,55789,99820,NA,NA
CK-14,Chinook,South Thompson_SU_1.3,Rel_Idx,SpnForAbd_Wild,2012,AbsLBM,NA,1000,10000,NA,NA
CK-14,Chinook,South Thompson_SU_1.3,Rel_Idx,SpnForAbd_Wild,2012,AbsUBM,NA,1000,10000,NA,NA
CK-14,Chinook,South Thompson_SU_1.3,Rel_Idx,SpnForAbd_Wild,2012,IntStatus,NA,NA,NA,2,RedAmber
CK-14,Chinook,South Thompson_SU_1.3,Rel_Idx,SpnForAbd_Wild,2012,LongTrend,87,50,75,87,Green
CK-14,Chinook,South Thompson_SU_1.3,Rel_Idx,SpnForAbd_Wild,2012,PercChange,-57,-25,-15,-57,Red
CK-14,Chinook,South Thompson_SU_1.3,Rel_Idx,SpnForAbd_Wild,2012,RelLBM,NA,933,1836,NA,NA
CK-14,Chinook,South Thompson_SU_1.3,Rel_Idx,SpnForAbd_Wild,2012,RelUBM,NA,933,1836,NA,NA
CK-16,Chinook,South Thompson-Bessette Creek_SU_1.2,Rel_Idx,SpnForAbd_Wild,2012,AbsLBM,NA,1000,10000,NA,NA
CK-16,Chinook,South Thompson-Bessette Creek_SU_1.2,Rel_Idx,SpnForAbd_Wild,2012,AbsUBM,NA,1000,10000,NA,NA
CK-16,Chinook,South Thompson-Bessette Creek_SU_1.2,Rel_Idx,SpnForAbd_Wild,2012,IntStatus,NA,NA,NA,1,Red
CK-16,Chinook,South Thompson-Bessette Creek_SU_1.2,Rel_Idx,SpnForAbd_Wild,2012,LongTrend,25,50,75,25,Red
CK-16,Chinook,South Thompson-Bessette Creek_SU_1.2,Rel_Idx,SpnForAbd_Wild,2012,PercChange,-95,-25,-15,-95,Red
CK-16,Chinook,South Thompson-Bessette Creek_SU_1.2,Rel_Idx,SpnForAbd_Wild,2012,RelLBM,NA,509,961,NA,NA
CK-16,Chinook,South Thompson-Bessette Creek_SU_1.2,Rel_Idx,SpnForAbd_Wild,2012,RelUBM,NA,509,961,NA,NA
CK-17,Chinook,Lower Thompson_SP_1.2,Rel_Idx,SpnForAbd_Wild,2012,AbsLBM,NA,1000,10000,NA,NA
CK-17,Chinook,Lower Thompson_SP_1.2,Rel_Idx,SpnForAbd_Wild,2012,AbsUBM,NA,1000,10000,NA,NA
CK-17,Chinook,Lower Thompson_SP_1.2,Rel_Idx,SpnForAbd_Wild,2012,IntStatus,NA,NA,NA,1,Red
CK-17,Chinook,Lower Thompson_SP_1.2,Rel_Idx,SpnForAbd_Wild,2012,LongTrend,53,50,75,53,Amber
