,Year,CU_ID,Species,Stock,Label,Metric,Compare,LBM,UBM,Value,Status
47,2011,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForTrend_Wild,LongTrend,1.34,0.5,0.75,1.34,Green
48,2012,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForTrend_Wild,LongTrend,1.37,0.5,0.75,1.37,Green
49,2013,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForTrend_Wild,LongTrend,1.23,0.5,0.75,1.23,Green
50,2014,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForTrend_Wild,LongTrend,1,0.5,0.75,1,Green
51,2015,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForTrend_Wild,LongTrend,0.94,0.5,0.75,0.94,Green
52,2016,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForTrend_Wild,LongTrend,0.93,0.5,0.75,0.93,Green
53,2017,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForTrend_Wild,LongTrend,0.86,0.5,0.75,0.86,Green
54,2018,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForTrend_Wild,LongTrend,0.87,0.5,0.75,0.87,Green
55,2010,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForTrend_Wild,PercChange,-37.6826,-25,-15,-37.6826,Red
56,2011,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForTrend_Wild,PercChange,-44.3002,-25,-15,-44.3002,Red
57,2012,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForTrend_Wild,PercChange,-45.1603,-25,-15,-45.1603,Red
58,2013,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForTrend_Wild,PercChange,-44.7777,-25,-15,-44.7777,Red
59,2014,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForTrend_Wild,PercChange,-52.7702,-25,-15,-52.7702,Red
60,2015,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForTrend_Wild,PercChange,-54.3646,-25,-15,-54.3646,Red
61,2016,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForTrend_Wild,PercChange,-50.0447,-25,-15,-50.0447,Red
62,2017,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForTrend_Wild,PercChange,-44.7944,-25,-15,-44.7944,Red
63,2018,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForTrend_Wild,PercChange,-36.7992,-25,-15,-36.7992,Red
64,2010,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,RelUBM,644.3910906,NA,NA,NA,NA
65,2011,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,RelUBM,607.9307372,NA,NA,NA,NA
66,2012,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,RelUBM,483.0953026,NA,NA,NA,NA
