Plot,CUIndex,Species,CU_ID,CU_Name,CU_Acro
Skeena Sockeye,28,Sockeye,SkeenaNass_23,Sicintine,Sicintine
Skeena Sockeye,29.5,Sockeye,SkeenaNass_24,Slamgeesh,Slamg
Skeena Sockeye,31,Sockeye,SkeenaNass_24b,Damshilgwit,Damshil
Skeena Sockeye,32.5,Sockeye,SkeenaNass_25,Motase,Motase
Skeena Sockeye,34,Sockeye,SkeenaNass_26,Bear,Bear
Skeena Sockeye,35.5,Sockeye,SkeenaNass-26b,Azuklotz,Azukl
Skeena Sockeye,37,Sockeye,SkeenaNass_27,Asitka,Asitka
Skeena Sockeye,38.5,Sockeye,SkeenaNass_28,Sustut,Sustut
Skeena Sockeye,40,Sockeye,SkeenaNass-28b,Johansen,Johan
Skeena Sockeye,41.5,Sockeye,SkeenaNass-28c,Spawning Lake,Spawning
Skeena Sockeye,43,Sockeye,SkeenaNass_29,Kluantantan,Kluant
Skeena Sockeye,44.5,Sockeye,SkeenaNass_30,Kluayaz,Kluayaz
Skeena Sockeye,46,Sockeye,SkeenaNass_31,Skeena River Type,Skeena RT
Fraser Sockeye - Early Stuart,-0.5,Sockeye,CU_18,Takla Trembleur-Early Stuart,Estu
Fraser Sockeye - Early Summer,-0.5,Sockeye,CU_1,Bowron-ES,ES_Bowr
Fraser Sockeye - Early Summer,1,Sockeye,CU_14,Nahatlatch-ES,ES_Naha
Fraser Sockeye - Early Summer,2.5,Sockeye,CU_15,Taseko-ES,ES_Tas
Fraser Sockeye - Early Summer,4,Sockeye,CU_17,Chilliwack-ES,ES_Chill
Fraser Sockeye - Early Summer,5.5,Sockeye,CU_19,Anderson-Seton-ES,ES_AndSet
Fraser Sockeye - Early Summer,7,Sockeye,CU_2,Kamloops-ES,ES_Kaml
Fraser Sockeye - Early Summer,8.5,Sockeye,CU_20,Shuswap-ES,ES_Shu
Fraser Sockeye - Early Summer,10,Sockeye,CU_3,Nadina-Francois-ES,ES_NadFran
Fraser Sockeye - Early Summer,11.5,Sockeye,CU_4,North Barriere-ES,ES_Nbarr
Fraser Sockeye - Early Summer,13,Sockeye,CU_5,Pitt-ES,ES_Pitt
Fraser Sockeye - Late,-0.5,Sockeye,CU_10,Seton-L,L_Set
Fraser Sockeye - Late,1,Sockeye,CU_11,Harrison-U/S-L,L_HarrUS
Fraser Sockeye - Late,2.5,Sockeye,CU_12,Lillooet-Harrison-L,L_LilHarr
Fraser Sockeye - Late,4,Sockeye,CU_13,Harrison-D/S-L,L_HarrDS
Fraser Sockeye - Late,5.5,Sockeye,CU_23,Shuswap-L,L_Shu
Fraser Sockeye - Late,7,Sockeye,CU_8,Cultus-L,L_Cult
Fraser Sockeye - Late,8.5,Sockeye,CU_16,Widgeon-RiverType,RT_Wid
Fraser Sockeye - Summer,-0.5,Sockeye,CU_21,Takla-Trembleur-Stuart-S,S_TakTremStu
Fraser Sockeye - Summer,1,Sockeye,CU_22,Quesnel-S,S_Ques
Fraser Sockeye - Summer,2.5,Sockeye,CU_6,Chilko-S-ES,S_Chilko
Fraser Sockeye - Summer,4,Sockeye,CU_7,Francois-Fraser-S,S_FranFras
Fraser Sockeye - Summer,5.5,Sockeye,CU_9,Harrison-RiverType,RT_HarrR
