AF_ID,AF_PopName,AF_AltPopName,AF_Timing,AF_CU_ID,AF_Notes,AF_POP_ID,NF_POP_ID,NF_PopName,NF_AltPopName,NF_CU_ID,NF_CUName,SF_ID,SF_PopName,SF_CU_ID,SF_CUName,MF_POP_ID,MF_PopName,MF_AltPopName,MF_TSName,MF_CU_ID
5069,Bessette Creek,,T4,18,,431,431,BESSETTE CREEK,BESSETTE CREEK,L-09-03,SHUSWAP COMPLEX-LATE TIMING,2,Bessette Creek,2,2,431,BESSETTE CREEK,BESSETTE CREEK,Bessette Creek,SEL-09-03
11052,Betty Frank's - Shore,,T3,16,,3365,3365,BETTY FRANK'S - LAKE SHORE,BETTY FRANK'S - LAKE SHORE,L-06-10,QUESNEL-SUMMER TIMING,192,Betty Frank's - Shore,SEL-L-06-10,Quesnel_S,3365,BETTY FRANK'S-LAKE SHORE,BETTY FRANK'S-LAKE SHORE,Betty Frank's - Shore,SEL-06-10
4001,Big Silver Creek,,T4,8,,46072,46072,BIG SILVER CREEK,BIG SILVER CREEK,L-03-03,HARRISON-DOWNSTREAM MIGRATING-LATE TIMING,388,Big Silver Creek,SEL-L-03-03,Harrison_DS_L,46072,BIG SILVER CREEK,BIG SILVER CREEK,Big Silver Creek,SEL-03-03
11042,Big Slide - Shore,,T3,16,,3342,3342,BIG SLIDE - LAKE SHORE,BIG SLIDE - LAKE SHORE,L-06-10,QUESNEL-SUMMER TIMING,193,Big Slide - Shore,SEL-L-06-10,Quesnel_S,3342,BIG SLIDE-LAKE SHORE,BIG SLIDE-LAKE SHORE,Big Slide - Shore,SEL-06-10
11069,"Big Slide, 1 km. West - shore",,T3,16,,3343,3343,BIG SLIDE - LAKE SHORE 1KM W,BIG SLIDE - LAKE SHORE 1KM W,L-06-10,QUESNEL-SUMMER TIMING,194,"Big Slide, 1 km. West - shore",SEL-L-06-10,Quesnel_S,3343,BIG SLIDE-LAKE SHORE-1KM W,BIG SLIDE-LAKE SHORE-1KM W,"Big Slide, 1 km. West - shore",SEL-06-10
11043,Bill Miner Cr. - Shore,,T3,16,,3344,3344,BILL MINER CR. - LAKE SHORE,BILL MINER CR. - LAKE SHORE,L-06-10,QUESNEL-SUMMER TIMING,195,Bill Miner Cr. - Shore,SEL-L-06-10,Quesnel_S,3344,BILL MINER CREEK-LAKE SHORE,BILL MINER CREEK-LAKE SHORE,Bill Miner Cr. - Shore,SEL-06-10
11044,Bill Miner Cr. - Shore 3 km west,,T3,16,,3345,3345,BILL MINER CR. - LAKE SHORE 3KM W,BILL MINER CR. - LAKE SHORE 3KM W,L-06-10,QUESNEL-SUMMER TIMING,196,Bill Miner Cr. - Shore 3 km west,SEL-L-06-10,Quesnel_S,3345,BILL MINER CREEK-LAKE SHORE-3KM W,BILL MINER CREEK-LAKE SHORE-3KM W,Bill Miner Cr. - Shore 3 km west,SEL-06-10
11020,Bill Miner Creek,,T3,16,,45070,45070,BILL MINER CREEK,BILL MINER CREEK,L-06-10,QUESNEL-SUMMER TIMING,197,Bill Miner Creek,SEL-L-06-10,Quesnel_S,45070,BILL MINER CREEK,BILL MINER CREEK,Bill Miner Creek,SEL-06-10
4002,Birkenhead River,,T4,12,,46098,46098,BIRKENHEAD RIVER,BIRKENHEAD RIVER,L-04-01,LILLOOET/HARRISON-LATE TIMING,413,Birkenhead River,SEL-L-04-01,Lillooet_Harr_L,46098,BIRKENHEAD RIVER,BIRKENHEAD RIVER,Birkenhead River,SEL-04-01
3017,Bivouac Creek,,T1,19,,45574,45574,BIVOUAC CREEK,BIVOUAC CREEK,L-06-14,TAKLA/TREMBLEUR-EARLY STUART TIMING,8,Bivouac Creek,SEL-L-06-14,Takla_Trem_Estu,45574,BIVOUAC CREEK,BIVOUAC CREEK,Bivouac Creek,SEL-06-14
