Species,Species_Short,CU_ID,CU_Name,Stock_Report,CU_Name_tsdata,DU_ID,CU_ID_Alt1,CU_ID_Alt2_CULookup,Pop_TimeSeriesData_CU_ID,CU_ID_Report,STK_ID,CU_Name_Alt1,CU_Name_Alt2,CU_Acro,latitude,long,FAZ,MAZ,JAZ,Region,Area,RunTiming,LifeHistory,Group,SMU,DataQualkIdx,AbdMetric,AbsAbdMetric,ShortTrendMetric,LongTrendMetric,PercentileMetric,Avg_Gen,Cyclic,Cyc_Dom,Cyc_Dom_Year,TrendNumGen,TrendExtraYears,TrendLog,TrendSmooth,AvgType,AvgSmooth,AvgRecentExcl,LongTrendMinYears,RelAbd_AvgData,RelAbd_LBM,RelAbd_UBM,AbsAbd_LBM,AbsAbd_UBM,LongTrend_LBM,LongTrend_UBM,PercChange_LBM,PercChange_UBM,ProbDeclBelowLBM_LBM,ProbDeclBelowLBM_UBM,Trends_StartYr,Abd_StartYr
Chinook,Ck,CK_03,Lower Fraser River_FA_0.3,Lower Fraser River_FA_0.3,,,,CK-03,CK-03,CK-03,,,,LFR-fall,49.218903,-121.945066,NA,NA,NA,Fraser,Fraser_Lower,Fall,Ocean,CK-Fraser_Lower,CK-Fraser_Fall_4_1,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,4,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,42918,71412,1000,10000,0.5,0.75,-25,-15,NA,NA,1984,1984
Chinook,Ck,CK_04,Lower Fraser River_SP_1.3,Lower Fraser River_SP_1.3,,,,CK-04,CK-04,CK-04,,,,LFR-spring,49.460826,-122.4924814,NA,NA,NA,Fraser,Fraser_Lower,Spring,Stream,CK-Fraser_Lower,CK-Fraser_Spring_5_2,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,,,1000,10000,0.5,0.75,-25,-15,NA,NA,1975,1975
Chinook,Ck,CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Lower Fraser River-Upper Pitt_SU_1.3,,,,CK-05,CK-05,CK-05,,,,LFR-UPITT,49.566286,-122.634339,NA,NA,NA,Fraser,Fraser_Lower,Summer,Stream,CK-Fraser_Lower,CK-Fraser_Summer_5_2,Rel_Idx,FALSE,FALSE,FALSE,TRUE,FALSE,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,,,1000,10000,0.5,0.75,-25,-15,NA,NA,2002,2002
Chinook,Ck,CK_06,Lower Fraser River_SU_1.3,Lower Fraser River_SU_1.3,,,,CK-06,CK-06,CK-06,,,,LFR-summer,49.72016855,-122.157779,NA,NA,NA,Fraser,Fraser_Lower,Summer,Stream,CK-Fraser_Lower,CK-Fraser_Summer_5_2,Rel_Idx,FALSE,FALSE,FALSE,TRUE,FALSE,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,,,1000,10000,0.5,0.75,-25,-15,NA,NA,2005,2005
Chinook,Ck,CK_07,Maria Slough_SU_0.3,Maria Slough_SU_0.3,,,,CK-07,CK-07,CK-07,,,,Maria,49.227919,-121.733305,NA,NA,NA,Fraser,Fraser_Lower,Summer,Ocean,CK-Fraser_Lower,CK-Fraser_Summer_4_1,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,4,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,,,1000,10000,0.5,0.75,-25,-15,NA,NA,1996,1996
Chinook,Ck,CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Middle Fraser-Fraser Canyon_SP_1.3,,,,CK-08,CK-08,CK-08,,,,FRCanyon,49.977915,-121.512032,NA,NA,NA,Fraser,Fraser_Upper,Spring,Stream,CK-Fraser_Mid_Upper,CK-Fraser_Spring_5_2,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,,,1000,10000,0.5,0.75,-25,-15,NA,NA,1997,1997
Chinook,Ck,CK_09,Middle Fraser River-Portage_FA_1.3,Middle Fraser River-Portage_FA_1.3,,,,CK-09,CK-09,CK-09,,,,Portage,50.70803,-122.270059,NA,NA,NA,Fraser,Fraser_Upper,Fall,Stream,CK-Fraser_Mid_Upper,CK-Fraser_Summer_5_2,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,,,1000,10000,0.5,0.75,-25,-15,NA,NA,2000,2000
Chinook,Ck,CK_10,Middle Fraser River_SP_1.3,Middle Fraser River_SP_1.3,,,,CK-10,CK-10,CK-10,,,,MFR-spring,52.72549964,-122.6181922,NA,NA,NA,Fraser,Fraser_Upper,Spring,Stream,CK-Fraser_Mid_Upper,CK-Fraser_Spring_5_2,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,,,1000,10000,0.5,0.75,-25,-15,NA,NA,1995,1995
Chinook,Ck,CK_11,Middle Fraser River_SU_1.3,Middle Fraser River_SU_1.3,,,,CK-11,CK-11,CK-11,,,,MFR-summer,52.94072095,-123.4585458,NA,NA,NA,Fraser,Fraser_Upper,Summer,Stream,CK-Fraser_Mid_Upper,CK-Fraser_Summer_5_2,Rel_Idx,FALSE,FALSE,FALSE,TRUE,FALSE,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,,,1000,10000,0.5,0.75,-25,-15,NA,NA,1999,1999
Chinook,Ck,CK_12,Upper Fraser River_SP_1.3,Upper Fraser River_SP_1.3,,,,CK-12,CK-12,CK-12,,,,UFR-spring,53.67953103,-120.9021509,NA,NA,NA,Fraser,Fraser_Upper,Spring,Stream,CK-Fraser_Mid_Upper,CK-Fraser_Spring_5_2,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,,,1000,10000,0.5,0.75,-25,-15,NA,NA,1995,1995
