Plot,PlotTitle,GroupIndex,CUIndex,Species,CU_ID,CU_Name,Group,CU_Acro
CK_SMU_FraserSpring_4_2,Chinook - Fraser Spring 1.2 (4_2),1,3,Chinook,CK_17,Lower Thompson_SP_1.2,Fraser Spring 1.2 (4sub2) Chinook SMU,LTh
CK_SMU_FraserSpring_5_2,Chinook - Fraser Spring 1.3 (5_2),1,2,Chinook,CK_04,Lower Fraser River_SP_1.3,Fraser Spring 1.3 (5sub2) Chinook SMU,LFR-spring
CK_SMU_FraserSpring_5_2,Chinook - Fraser Spring 1.3 (5_2),1,3,Chinook,CK_08,Middle Fraser-Fraser Canyon_SP_1.3,Fraser Spring 1.3 (5sub2) Chinook SMU,FRCanyon
CK_SMU_FraserSpring_5_2,Chinook - Fraser Spring 1.3 (5_2),1,4,Chinook,CK_10,Middle Fraser River_SP_1.3,Fraser Spring 1.3 (5sub2) Chinook SMU,MFR-spring
CK_SMU_FraserSpring_5_2,Chinook - Fraser Spring 1.3 (5_2),1,5,Chinook,CK_12,Upper Fraser River_SP_1.3,Fraser Spring 1.3 (5sub2) Chinook SMU,UFR-spring
CK_SMU_FraserSpring_5_2,Chinook - Fraser Spring 1.3 (5_2),1,6,Chinook,CK_18,North Thompson_SP_1.3,Fraser Spring 1.3 (5sub2) Chinook SMU,NTh-spr
CK_SMU_FraserSummer_5_2,Chinook - Fraser Summer 1.3 (5_2),1,2,Chinook,CK_05,Lower Fraser River-Upper Pitt_SU_1.3,Fraser Summer 1.3 (5sub2) Chinook SMU,LFR-UPITT
CK_SMU_FraserSummer_5_2,Chinook - Fraser Summer 1.3 (5_2),1,3,Chinook,CK_06,Lower Fraser River_SU_1.3,Fraser Summer 1.3 (5sub2) Chinook SMU,LFR-summer
CK_SMU_FraserSummer_5_2,Chinook - Fraser Summer 1.3 (5_2),1,4,Chinook,CK_09,Middle Fraser River-Portage_FA_1.3,Fraser Summer 1.3 (5sub2) Chinook SMU,Portage
CK_SMU_FraserSummer_5_2,Chinook - Fraser Summer 1.3 (5_2),1,5,Chinook,CK_11,Middle Fraser River_SU_1.3,Fraser Summer 1.3 (5sub2) Chinook SMU,MFR-summer
CK_SMU_FraserSummer_5_2,Chinook - Fraser Summer 1.3 (5_2),1,6,Chinook,CK_14,South Thompson_SU_1.3,Fraser Summer 1.3 (5sub2) Chinook SMU,STh-1.3
CK_SMU_FraserSummer_5_2,Chinook - Fraser Summer 1.3 (5_2),1,7,Chinook,CK_19,North Thompson_SU_1.3,Fraser Summer 1.3 (5sub2) Chinook SMU,NTh-sum
