"CU_Name","Year","Pop_Name","SpnForTrend_Total","Pop_ID","SpnForTrend_Wild","SpnForAbd_Total","SpnForAbd_Wild","Recruits_Total","Recruits_Wild","CU_ID","DU_ID"
"South Thompson",2008,"Scotch Cr",18,46290,NA,18,NA,NA,NA,"CO_05",NA
"South Thompson",2008,"Senn Cr",44,3074,NA,44,NA,NA,NA,"CO_05",NA
"South Thompson",2008,"Seymour R",48,46330,NA,48,NA,NA,NA,"CO_05",NA
"South Thompson",2008,"Shuswap R (lwr)",2238,46431,NA,2238,NA,NA,NA,"CO_05",NA
"South Thompson",2008,"Shuswap R (mid)",988,46441,NA,988,NA,NA,NA,"CO_05",NA
"South Thompson",2008,"Sinmax Cr",16,46260,NA,16,NA,NA,NA,"CO_05",NA
"South Thompson",2008,"South Pass Cr",0,46380,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2008,"Tappen Cr",8,46391,NA,8,NA,NA,NA,"CO_05",NA
"South Thompson",2008,"Trinity Cr",0,46481,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2008,"Wap Cr",798,46521,NA,798,NA,NA,NA,"CO_05",NA
"South Thompson",2008,"Wright Cr",5,3217,NA,5,NA,NA,NA,"CO_05",NA
"South Thompson",2008,"Yard Cr",13,7476,NA,13,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Adams R (upr)",591,46250,NA,591,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Anstey R",14,46350,NA,14,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Bessette Cr",46,46542,NA,46,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Blurton Cr",2,46461,NA,2,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Canoe Cr",13,46421,NA,13,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Cayenne Cr",16,46280,NA,16,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Celista Cr",0,46320,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Crazy Cr",0,806,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Creighton Cr",33,46552,NA,33,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Danforth Cr (kingfisher Cr)",26,46501,NA,26,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Duteau Cr",110,46562,NA,110,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Eagle R",1437,46360,NA,1437,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Harbour Cr",26,3069,NA,26,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Harris Cr",58,46572,NA,58,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Hiuihill Cr",7,132,NA,7,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Hunakwa Cr",107,46340,NA,107,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Ireland Cr",21,46532,NA,21,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Johnson Cr",2,46451,NA,2,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Mcnomee Cr",22,45016,NA,22,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Momich R",52,46270,NA,52,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Nikwikwaia Cr",2,3071,NA,2,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Onyx Cr",1,46300,NA,1,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Owlhead Cr",0,46370,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Perry R",0,133,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Salmon R",24,46401,NA,24,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Scotch Cr",16,46290,NA,16,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Senn Cr",0,3074,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Seymour R",5,46330,NA,5,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Shuswap R (lwr)",168,46431,NA,168,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Shuswap R (mid)",462,46441,NA,462,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Sinmax Cr",83,46260,NA,83,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"South Pass Cr",27,46380,NA,27,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Tappen Cr",0,46391,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Trinity Cr",4,46481,NA,4,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Wap Cr",444,46521,NA,444,NA,NA,NA,"CO_05",NA
"South Thompson",2009,"Wright Cr",2,3217,NA,2,NA,NA,NA,"CO_05",NA
