"CU_ID","Year","Value"
"CK-10",2014,4269.27773332413
"CK-10",2015,4650.69393460239
"CK-10",2016,4538.28638678331
"CK-10",2017,4033.31596525814
"CK-10",2018,3690.84253576076
"CK-10",2019,2130.16524203966
"CK-10",2020,1948.05422417576
"CK-10",2021,2194.29819463574
"CK-10",2022,2900.830450005
"CK-11",1995,NA
"CK-11",1996,NA
"CK-11",1997,NA
"CK-11",1998,NA
"CK-11",1999,NA
"CK-11",2000,NA
"CK-11",2001,NA
"CK-11",2002,NA
"CK-11",2003,22090.67677342
"CK-11",2004,24931.050319203
"CK-11",2005,25019.7082231503
"CK-11",2006,24051.4623669282
"CK-11",2007,20017.3625846788
"CK-11",2008,16278.3021371677
"CK-11",2009,14706.9015988041
"CK-11",2010,15069.2484800632
"CK-11",2011,14765.7743824164
"CK-11",2012,14127.2657271541
"CK-11",2013,13007.9590670837
"CK-11",2014,13811.3867584597
"CK-11",2015,14589.9391654903
"CK-11",2016,12966.9107697783
"CK-11",2017,12066.8105761301
"CK-11",2018,11004.2190094757
"CK-11",2019,8013.52729806502
"CK-11",2020,6689.69250028901
"CK-11",2021,6922.7977946242
"CK-11",2022,9121.49525530229
"CK-12",1995,NA
"CK-12",1996,NA
"CK-12",1997,NA
"CK-12",1998,NA
"CK-12",1999,21554.7279033678
"CK-12",2000,19055.1062338452
"CK-12",2001,19091.0596748011
"CK-12",2002,20392.9007937812
"CK-12",2003,22404.8346275401
"CK-12",2004,25449.3630402736
"CK-12",2005,25285.1032130898
"CK-12",2006,24058.9348697093
"CK-12",2007,18375.5851963709
"CK-12",2008,14565.1930921781
"CK-12",2009,14274.3079038687
"CK-12",2010,13120.493075918
"CK-12",2011,11412.2299904021
"CK-12",2012,11317.3436953521
"CK-12",2013,11578.3329338764
"CK-12",2014,11478.4600872812
"CK-12",2015,12747.0208676397
"CK-12",2016,13896.6865868855
"CK-12",2017,13495.8123991742
"CK-12",2018,12004.2714415675
"CK-12",2019,7364.22448903749
"CK-12",2020,7017.31640027677
"CK-12",2021,7178.27925720877
"CK-12",2022,8795.84896099303
"CK-13",1995,NA
"CK-13",1996,NA
"CK-13",1997,NA
"CK-13",1998,NA
"CK-13",1999,NA
"CK-13",2000,30016.4959802038
"CK-13",2001,30445.97000693
"CK-13",2002,32362.5962866604
"CK-13",2003,40864.6179682838
"CK-13",2004,51844.2142827446
"CK-13",2005,60849.1655325021
"CK-13",2006,72588.4503553123
"CK-13",2007,77738.9528352035
"CK-13",2008,90995.8223150426
"CK-13",2009,85675.5499618772
"CK-13",2010,77524.3469832066
"CK-13",2011,90379.6625369777
"CK-13",2012,77494.0899656328
"CK-13",2013,85618.9167338806
"CK-13",2014,70271.4158191311
"CK-13",2015,74195.5274113597
"CK-13",2016,88876.4877792134
"CK-13",2017,84109.9761881655
"CK-13",2018,81357.3594794464
"CK-13",2019,82687.0012641817
"CK-13",2020,89795.650633624
"CK-13",2021,107513.069661769
