"","Year","Horsefly Channel","Horsefly River","Horsefly River - Above Falls","Horsefly River, lower","Horsefly River, upper","McKinley Creek","McKinley Creek, lower","McKinley Creek, upper","Cameron Creek","Mitchell River","Penfold Creek","CU_Data[, !is.na(match(colnames(CU_Data), levels(as.factor(CU_Q$Quesnel_S_Little))))]","Baxter Beach","Bear Beach - Shore","Betty Frank's - Shore","Big Slide - Shore","Big Slide, 1 km. West - shore","Bill Miner Cr. - Shore","Bill Miner Cr. - Shore 3 km west","Blue Lead Cr. - Shore","Bouldery Cr. - Shore","Bouldery Cr. - Shore 2 km east","Bowling Point","Deception Point","Devoe Creek - Shore","Double T - Shore","East Arm - unnamed creek 1","East Arm - unnamed creek 2 - shore","East Arm - unnamed point","Elysia - Shore","Elysia shore - 1 km west","Franks Creek - shore","Goose Point - Shore","Goose Pt., .8 km south - shore","Goose Pt., 5 km south - shore","Grain Cr. - Shore","Horsefly Lake","Hurricane Point","Junction Shore","Killdog Creek - Shore","Lester Shore","Limestone Point - Shore","Limestone Pt, .5 km south - shore","Logger Landing","Long Cr. - Shore","Lynx Cr. - Shore","Marten Cr. - Shore","North Arm - shore, Bowling to Goose Pt.","North Arm - shore, Roaring to Deception Pt.","North Arm - unnamed cove","Opa Beach","Penfold Camp Shore","Quartz Point","Quesnel Lake","Roaring Point","Roaring R. - Shore","Slate Bay","Slate Bay, 1 km east","Tasse Creek - shore","Wasko Creek - shore","Watt Cr. - Shore"
"11",1960,NA,117,NA,NA,NA,0,NA,NA,NA,0,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1961,NA,64200,NA,NA,NA,3839,NA,NA,0,1907,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1962,NA,526,NA,NA,NA,0,NA,NA,NA,2,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1963,NA,40,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1964,NA,77,NA,NA,NA,0,NA,0,NA,0,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1965,NA,103661,NA,NA,NA,0,NA,NA,NA,1681,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1966,NA,973,NA,NA,NA,0,NA,NA,NA,65,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1967,NA,24,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1968,NA,328,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1969,NA,NA,NA,3824,64380,NA,3973,1715,NA,2662,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
