"Year","EFS"
1950,41370
1951,13589
1952,24744
1953,16287
1954,8635
1955,8185
1956,27156
1957,7068
1958,5510
1959,11388
1960,19198
1961,10550
1962,14311
1963,20769
1964,27978
1965,9769
1966,13462
1967,17580
1968,31042
1969,14324
1970,19252
1971,16143
1972,26202
1973,28374
1974,85495
1975,19653
1976,50023
1977,12799
1978,48158
1979,35168
1980,32786
1981,27175
1982,72353
1983,21069
1984,23226
1985,5757
1986,197841
1987,89492
1988,75537
1989,15690
1990,97108
1991,152077
1992,93445
1993,151089
1994,22315
1995,18407
1996,27824
1997,23274
1998,172997
1999,26220
2000,8333
2001,28361
2002,155181
2003,152657
2004,17516
2005,27117
2006,137365
2007,54290
2008,6788
2009,34475
2010,67762
2011,92420
2012,2549
2013,46795
2014,19610
2015,26687
2016,13474
2017,9900
2018,7233
2019,1984
2020,1635
2021,23510
2022,60148
