"Year","McNomee Creek","Scotch Creek","Seymour River","ETS"
1950,NA,40.92,10275.57,10316.49
1951,0,0,22758.656,22758.656
1952,NA,12,5450.182,5462.182
1953,NA,1208.6404,5350.48,6559.1204
1954,NA,0,24159.6048,24159.6048
1955,NA,0,8773.638,8773.638
1956,NA,8,2442.69,2450.69
1957,NA,2205.47,10619.99,12825.46
1958,NA,0,77665.661,77665.661
1959,NA,0,52257.69,52257.69
1960,NA,0,2901,2901
1961,NA,516.672,3328.618,3845.29
1962,NA,1.75,49854.632,49856.382
1963,NA,0,49942.838,49942.838
1964,NA,0,2712.06,2712.06
1965,NA,1776.3,5650.592,7426.892
1966,NA,447.2496,25885.596,26332.8456
1967,NA,0,12505.896,12505.896
1968,NA,0,3697.913,3697.913
1969,NA,2549.645,6530.16,9079.805
1970,NA,259.2816,8188.164,8447.4456
1971,NA,0,17334.508,17334.508
1972,NA,0,2751.564,2751.564
1973,NA,6047.3265,2668.3072,8715.6337
1974,NA,420.627,44142.12,44562.747
1975,NA,0,36570.204,36570.204
1976,NA,33.8538,8270.2842,8304.138
1977,NA,12211.0968,5462.9421,17674.0389
1978,NA,1909.2016,62613.2952,64522.4968
1979,NA,0,48132.5172,48132.5172
1980,NA,107,8027.3249,8134.3249
1981,NA,17147.7696,11211.333,28359.1026
1982,NA,4709,62657.2713,67366.2713
1983,NA,239,29514.7914,29753.7914
1984,NA,397.6298,17172,17569.6298
1985,NA,3280.742,5620,8900.742
1986,NA,26355.0976,124727.7076,151082.8052
1987,NA,2082.9419,79677.675,81760.6169
1988,NA,1025.762,16470.5515,17496.3135
1989,NA,7236,5507,12743
1990,NA,79393.7148,269511.0187,348904.7335
1991,NA,NA,126970.47,126970.47
1992,NA,2133.7932,5742,7875.7932
1993,5,8180.9533,10114,18299.9533
1994,7846,67706.136,55573.888,131126.024
1995,8038.8525,14497.2408,39995.321,62531.4143
1996,516.1149,4240.28,20054.3904,24810.7853
1997,26.1261,2772.798,1882.795,4681.7191
1998,607.355,33994.8488,32276.526,66878.7298
1999,4460.2325,3960.3868,13944.14,22364.7593
2000,937.53,3326.3775,24226.2358,28490.1433
2001,549,2449,6034.0959,9032.0959
2002,1939,98848.6709,110889.3612,211677.0321
2003,346.4448,5081.8754,30939.1038,36367.424
2004,0,776.0313,1311.2253,2087.2566
2005,73.6818,4145.0991,3516,7734.7809
2006,746.46,130442.4154,99951.8775,231140.7529
2007,68,7667.3168,9708.8156,17444.1324
2008,50.3302,291.2916,550.9598,892.5816
2009,26.8434,4624.8128,5107.2054,9758.8616
2010,18284.6623,473473.4488,483231.7512,974989.8623
2011,216.25,24719.6784,12870.279,37806.2074
2012,0,1132.424,464.2656,1596.6896
2013,127,22415.8864,21680.655,44223.5414
2014,17601.1238,126169.89,88018.6395,231789.6533
2015,468.4141,6451.2956,7254.0622,14173.7719
2016,0,861.4404,335.2536,1196.694
2017,1.9622,4858.585,3160.1231,8020.6703
2018,18889.4198,62654.9616,100622.8426,182167.224
2019,118.157,1664.8515,1024.673,2807.6815
2020,0,1262.232,823.584,2085.816
2021,76.4533,14061.9648,7991.6754,22130.0935
2022,4412.4399,51461.6702,23751.3104,79625.4205
