"Year","EFS"
1950,1834
1951,1246
1952,16
1953,78613
1954,2687
1955,3274
1956,428
1957,296397
1958,12531
1959,4090
1960,1307
1961,194160
1962,9006
1963,1092
1964,824
1965,122780
1966,4124
1967,897
1968,179
1969,113877
1970,8027
1971,707
1972,3375
1973,115565
1974,7371
1975,5679
1976,1674
1977,74722
1978,7075
1979,16357
1980,287
1981,118846
1982,8612
1983,1423
1984,658.59537804032
1985,158893
1986,14775
1987,2138
1988,3433
1989,323118
1990,109845
1991,38598
1992,11454
1993,1173510
1994,39638
1995,16610
1996,27069
1997,406868
1998,67035
1999,31925
2000,216738
2001,173757
2002,15521
2003,16592
2004,46524
2005,151169
2006,12913
2007,3200
2008,53207
2009,40186
2010,43261
2011,714
2012,29414
2013,68730
2014,27304
2015,4286
2016,4200
2017,78391
2018,66987
2019,2985
2020,2097
2021,188067
2022,40739
2023,NA
