"Year","Abbott Creek","Baxter Beach","Bear Beach - Shore","Betty Frank's - Shore","Big Slide - Shore","Big Slide, 1 km. West - shore","Bill Miner Cr. - Shore","Bill Miner Cr. - Shore 3 km west","Bill Miner Creek","Blue Lead Cr. - Shore","Blue Lead Creek","Bouldery Cr. - Shore","Bouldery Cr. - Shore 2 km east","Bouldery Creek","Bowling Point","Buckingham Creek","Cameron Creek","Deception Point","Devoe Creek","Devoe Creek - Shore","Double T - Shore","East Arm - unnamed creek 1","East Arm - unnamed creek 2 - shore","East Arm - unnamed point","Elysia - Shore","Elysia shore - 1 km west","Franks Creek","Franks Creek - shore","Goose Creek","Goose Point - Shore","Goose Pt., .8 km south - shore","Goose Pt., 5 km south - shore","Grain Cr. - Shore","Grain Creek","Hazeltine Creek","Horsefly Channel","Horsefly Lake","Horsefly River","Horsefly River - Above Falls","Horsefly River, lower","Horsefly River, upper","Hurricane Point","Isaiah Creek","Junction Creek","Junction Shore","Killdog Creek","Killdog Creek - Shore","Lester Shore","Limestone Creek","Limestone Point - Shore","Limestone Pt, .5 km south - shore","Little Horsefly River","Logger Landing","Long Cr. - Shore","Long Creek","Lynx Cr. - Shore","Lynx Creek","Marten Cr. - Shore","Marten Creek","McKinley Creek","McKinley Creek, lower","McKinley Creek, upper","Mitchell River","Moffat Creek","Niagara Creek","North Arm - shore, Bowling to Goose Pt.","North Arm - shore, Roaring to Deception Pt.","North Arm - unnamed cove","Opa Beach","Penfold Camp Shore","Penfold Creek","Peninsula Bay","Quartz Point","Quesnel Lake","Roaring Point","Roaring R. - Shore","Roaring River","Rock Slide","Service Creek","Slate Bay","Slate Bay, 1 km east","Spusks Creek","Sue Creek","Summit Creek","Taku Creek","Tasse Creek","Tasse Creek - shore","Tisdall Creek","Trickle Creek","Wasko Creek","Wasko Creek - shore","Wasko Creek - Upper","Watt Cr. - Shore","Watt Creek","Whiffle Creek","ETS"
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,250,2,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305
1977,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,152.5059,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47893.8717,219278.7945,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,67.6386,NA,NA,NA,NA,0,NA,NA,NA,12685.8894,3078.8088,27052.8876,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301.1832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310513.5797
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476.256,6694.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,83.64,5,1217.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8476.256
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.9504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.9504
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,31.1678,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.5678
1981,NA,NA,NA,NA,NA,NA,NA,NA,497.6,93.5488,2500,NA,NA,0,NA,NA,2879.261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107048.9472,433245.0525,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,60.7072,NA,NA,NA,0,11540.99,59220.7154,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,619079.2221
1982,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2405.949,27320.8572,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,5306.9092,75.1606,3719.1077,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,38865.9837
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1509.2892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,28.7052,NA,89.8926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1627.887
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,786.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,46.669,NA,NA,19.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,852.267
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,4950,NA,NA,NA,0,0,NA,2091.8187,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384,NA,NA,NA,0,NA,NA,NA,NA,28811.4216,245785.2408,692092.3779,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,16485.04,NA,NA,0,NA,0,NA,NA,NA,78697.7749,14451.5365,191301.8229,NA,NA,NA,NA,NA,NA,NA,210.3975,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1170,NA,NA,NA,NA,NA,533.412,NA,NA,NA,NA,NA,1277338.8428
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14646.1806,120792.0995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3949.5566,617.977,29242.4922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169502.3059
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,936.7456,13009.6043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,56.4039,0,3751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17753.7538
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,4876.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,174.474,0,954,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6078.578
1989,NA,NA,NA,462.1203,NA,NA,NA,NA,0,4186.0314,401,NA,NA,0,NA,0,6174.8239,1327.473,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,4.9905,0,1616,22892.25,0,NA,NA,790080.3225,648772.7556,NA,0,NA,NA,47,6.9867,NA,NA,NA,NA,NA,NA,31.9392,0,147.7188,95,NA,NA,NA,111664.049,4500,227509.779,10607.409,0,NA,NA,NA,NA,NA,485.527,NA,NA,178.6599,NA,10.9791,214,NA,NA,NA,NA,NA,NA,2983,NA,NA,NA,NA,NA,1672,NA,NA,2232.7497,117,NA,1838421.5646
1990,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2052.5882,NA,NA,NA,NA,NA,1433.846,252.2624,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29274,NA,NA,NA,78530.4676,314119.8996,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,457.2256,NA,0,NA,11199.071,372.4812,42059.8155,0,NA,NA,NA,NA,NA,NA,195.706,NA,NA,NA,NA,NA,248.3208,NA,NA,NA,NA,NA,NA,1010.035,NA,NA,NA,NA,NA,0,NA,NA,NA,319.2696,NA,481524.9885
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17987.14,NA,NA,NA,5754,14000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,7690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45431.14
1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1771,NA,NA,NA,1591,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5862
1993,0,NA,NA,NA,NA,NA,NA,NA,261,NA,6628.846,NA,NA,0,NA,0,35495.082,5306.4774,0,785.3706,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,349,94,16686.9357,NA,1639930.026,NA,NA,NA,NA,4,NA,NA,263,NA,NA,NA,NA,NA,21296.917,NA,327.4866,0,NA,1280.5947,NA,0,NA,133960.387,5883.7038,665959.97,7043.6278,13.9356,NA,NA,NA,NA,NA,174.33,NA,NA,NA,NA,NA,1818.26,NA,0,NA,NA,NA,NA,6541.9189,NA,0,NA,NA,NA,6006.2867,NA,NA,NA,0,0,2556111.1558
1994,NA,NA,NA,NA,NA,NA,NA,NA,180.2528,NA,2425,NA,NA,0,NA,NA,5034.6585,957.7168,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,19408.8688,NA,463057.128,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,216,NA,NA,0,NA,436,NA,NA,NA,31793.7714,1145.1286,123775.556,367.8192,NA,NA,NA,NA,NA,NA,1.994,NA,NA,NA,NA,NA,146.6608,NA,NA,NA,NA,NA,NA,2245.9545,NA,NA,NA,NA,NA,0,NA,NA,NA,230,NA,651422.5094
1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15823.899,NA,159840.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,380,0,34275.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210319.507
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10515.488,NA,21898.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.788,NA,NA,NA,NA,NA,NA,NA,NA,8.523,NA,6946,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39372.227
1997,0,NA,1070.082,508.5176,960.048,NA,361.552,33.984,256,7143.7502,3503,390.816,33.984,15.104,5243.31,0,14463.4815,31891.8254,0,115.1163,NA,NA,NA,NA,NA,294.2826,0,NA,NA,3211.468,NA,NA,318.7836,1687.3885,905.4126,NA,3.4988,867708.9572,NA,NA,NA,NA,914,NA,NA,130,NA,NA,NA,378,NA,31113.079,NA,1317.5065,3.9356,237.888,391,128,0,NA,157286.88,5447.5578,476046.3809,6807.681,0,NA,NA,NA,NA,NA,4781.0547,NA,NA,NA,NA,3439.9656,1886,NA,NA,169.92,NA,NA,95.95,5214.656,740,NA,33.8472,NA,20,10506.1545,NA,0,2310.8562,1806.0704,NA,1651326.7457
1998,NA,NA,44.6445,0,0,NA,77,0,353,1335.5171,3095.8299,9,18,54,223.7176,NA,9481.1483,4144.5783,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,1167.7017,NA,NA,0,438.165,0,22211.2072,NA,647407.8864,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,3901.8552,NA,0,0,92,555.292,0,0,56826.2526,NA,NA,281115.016,888.1922,0,NA,NA,NA,NA,NA,506.142,NA,NA,NA,NA,193.54,900.207,NA,NA,0,NA,NA,0,3249.7696,0,NA,NA,NA,0,2740.408,NA,NA,0,745.736,NA,1041775.8066
1999,NA,NA,2,5,0,NA,33.8884,0,0,281,553,0,0,0,2,0,211,272,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,148,NA,NA,0,0,NA,5327.6132,NA,118981.2806,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,410,NA,0,0,0,4.459,0,0,NA,744.2262,58.2,46141,100.625,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,68,164,NA,NA,0,NA,NA,0,315,65.9932,NA,NA,NA,0,76,NA,NA,9,38,NA,174110.2856
2000,NA,NA,NA,NA,0,NA,0,NA,0,29.0912,124,0,NA,NA,0,NA,28.3214,24.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,1098.675,NA,33618.4784,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,118.1686,NA,NA,NA,0,0,NA,NA,NA,457,0,27040,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,276.3664,0,NA,NA,NA,NA,12.6958,NA,NA,2,6.8362,NA,62836.048
2001,725.694,170.298,8523.4133,2619.1186,2801.8305,35.5788,583,589,1030,10684.7399,3233.92,6855.264,632,508,10739.268,184,65863.8684,117041.0849,30.75,862.2264,563.031,530.0074,57.096,1570.608,128,585,26.811,547.143,2607.7834,15558.7806,587.7036,551.2122,6975.9144,6918.6199,749.4415,NA,NA,1613616.9214,NA,NA,NA,157,3489.9928,1139.2875,3715,407.0066,52.5798,1293.372,727.4592,637.7328,1097.675,9120.0304,106.6923,5398.448,1158.4888,940,1876.77,928.0431,178,NA,237076.8202,6560.7408,873112.3275,3031.0605,NA,164.5533,333.9733,6835.576,102.2112,263.952,49394.4795,464.724,69.51,NA,496.7224,6945.8832,10996.1137,125.118,205.5168,203.7672,826.3892,3040.3476,49,9673.2818,426.3182,672.29,122.6475,NA,51,63147.4246,180,587.0267,4562.4592,6239.728,745,3204416.6689
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27776.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,903349.3007,NA,NA,NA,NA,NA,NA,NA,22710.9463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,953836.281
2003,0,0,0,0,NA,NA,18,0,0,562,720,16,0,0,0,0,1199,1532,0,0,NA,0,NA,NA,NA,NA,0,5,0,244.951,0,0,0,242.6235,0,21862.68,NA,153411.3342,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,650,0,0,0,272,540,0,0,3711.6444,NA,NA,88869.2226,0,0,0,0,0,0,0,692.8614,NA,0,NA,0,85,378,NA,0,NA,NA,0,0,571,0,0,0,NA,0,576,0,NA,58.9882,109.978,0,276328.2833
2004,0,NA,NA,NA,0,NA,0,0,0,3.9788,0,NA,NA,0,0,NA,0,75.5972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7827,NA,NA,NA,0,0,0,NA,3995.7099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360.0814,NA,NA,NA,0,0,NA,NA,NA,123.3428,0,5423.1044,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,143.2368,0,NA,NA,NA,NA,0,NA,NA,0,1.9894,NA,10167.8234
2005,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28438,0,671,NA,NA,NA,NA,76.8614,258.5338,NA,NA,NA,NA,NA,NA,4556,4144,405.08,NA,NA,615636.6942,NA,NA,NA,NA,1931,299,1863,NA,NA,NA,NA,NA,NA,36140.5616,NA,5230,610,NA,NA,NA,NA,142114.68,NA,NA,NA,3270.2688,NA,NA,NA,4160,169,NA,NA,NA,NA,NA,NA,3807,3104.402,NA,NA,NA,NA,2080.0404,0,NA,NA,153,279,407,NA,20271.4456,122,NA,NA,NA,913.6184,881111.1862
2006,0,NA,NA,NA,311,NA,NA,NA,NA,743,38,675,NA,31,NA,NA,1.906,3909.2716,0,103,NA,NA,NA,14,0,25,NA,NA,NA,NA,NA,NA,925,509,0,17517.5862,NA,101698.442,NA,NA,NA,NA,0,4,5,NA,NA,NA,NA,NA,NA,3620.3596,NA,796,0,117,158,NA,NA,2865.671,NA,NA,21121.339,0,NA,NA,NA,447.4944,0,NA,267.793,NA,NA,NA,NA,707.6944,710.0302,NA,NA,NA,NA,0,0,151,NA,0,0,0,NA,2527,36,NA,NA,NA,0,160035.5874
2007,NA,NA,0,NA,0,NA,42.9075,NA,0,403,47.675,118.234,3.814,0,0,NA,0,1516.0289,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,380,NA,NA,3.814,111.5595,0,3406.692,NA,51814.959,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,648.7758,NA,0,NA,36.233,59,NA,NA,NA,589.692,432.0851,9233.187,0,NA,NA,NA,0,NA,NA,44.133,NA,NA,NA,NA,1.907,118.234,NA,NA,0,NA,0,NA,135.397,NA,0,NA,0,NA,648.38,NA,NA,137,12.3955,0,69945.1033
2008,NA,NA,NA,NA,0,NA,0,NA,0,32.0976,10.6992,0,NA,0,NA,NA,0,20.2096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,3164.5856,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,45.7688,0,929.6416,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,11.888,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,4214.8904
2009,0,NA,197.406,64.805,394,NA,98.1518,NA,0,916,693,1253,13,0,453.635,NA,233.298,8274.4304,0,40,NA,NA,NA,0,35.784,NA,NA,0,NA,1110.658,NA,NA,545,556,0,8053.4454,NA,55818.6057,NA,NA,NA,NA,32,45,0,0,0,NA,NA,NA,NA,5970.0048,NA,724,0,92.321,136.052,0,NA,NA,9526.7142,1887.3212,45603.777,0,NA,NA,NA,1003,0,NA,89.73,NA,NA,NA,NA,380.854,0,NA,NA,0,NA,0,NA,406.2124,NA,0,0,0,NA,3088.358,0,15.904,280.157,100.697,0,148132.3219
2010,0,NA,121.085,123.07,290.9716,NA,155.3096,NA,20.5832,998.2852,395.7588,357.3992,NA,0,469.4525,NA,241.1775,6215.0361,0,33.6816,NA,0,NA,0,0,NA,NA,NA,NA,643.14,NA,NA,520.1936,429.4404,0,21044.4508,NA,116062.1156,NA,NA,NA,NA,90.7532,20.9352,0,0,0,NA,NA,0,NA,3561.534,NA,787.7752,0,67.3632,71.1056,0,NA,NA,1058.6557,201.2185,73762.6,0,NA,NA,NA,377.0468,NA,NA,462.505,NA,NA,NA,NA,487.3175,880.3475,NA,NA,0,NA,0,NA,200.2184,NA,0,0,0,NA,4596.7251,NA,0,164.755,149.8675,0,235061.8741
2011,0,NA,0,0,9.4626,NA,0,NA,0,110.8476,16.8975,20.9529,NA,0,8.0047,NA,0,361.6669,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,45.8451,NA,NA,0,0,53.3961,1596.4758,NA,20051.2494,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,193.3074,NA,0,0,2.7036,14.8698,NA,NA,NA,48.6648,0,8399.1134,0,NA,NA,NA,0,NA,NA,11.6432,NA,NA,NA,NA,8.0047,82.2301,NA,NA,0,NA,0,NA,98.6814,NA,0,NA,0,NA,180.4696,NA,0,31.2911,13.0986,0,31358.8763
2012,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,175.4864,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,0,18.9892,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,3.6014,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,198.077
