"Year","Adams Channel","Adams Lake","Adams Lake - misc. east side shore","Adams Lake - misc. north end shore","Adams Lake - misc. south end shore","Adams River - shore","Adams River, lower","Adams River, upper","Anstey River","Anstey River - shore","Bessette Creek","Blurton Creek","Bush Creek","Bush Creek - shore","Canoe Creek","Celista Creek","Cooke Creek","Crazy Creek","Cruikshank Pt. West - shore","Eagle River","Four Mile Creek - shore","Hiuihill Creek","Hlina Creek - shore","Hunakwa Creek","Johnson Creek","Kingfisher Creek","Knight Creek - shore","Lee Creek - shore","Little River","Lower Shuswap River","Mara Lake - shore","McNomee Creek","Middle Shuswap River","Momich River","Momich River - shore","Nikwikwaia Creek","Noisy Creek","Onyx Creek","Onyx Creek - shore","Perry River","Queest Creek - shore","Reinecker Creek","Reinecker Creek - shore","Ross Creek","Ross Creek - shore","Salmon River","Scotch Creek","Scotch Creek - shore","Seymour River","Shuswap L. - Main Arm north side","Shuswap L. - Main Arm south side","Shuswap L. - Salmon Arm east side","Shuswap L. - Salmon Arm north side","Shuswap L. - Salmon Arm south side","Shuswap Lake","Shuswap Lake - Anstey Arm","Shuswap Lake - Main Arm","Shuswap Lake - Salmon Arm","Shuswap Lake - Seymour Arm","Sicamous Creek","Sinmax Creek","Sinmax Creek - shore","South Thompson River","Tappen Creek","Trinity Creek","Tsuius Creek","Tsuius Creek - Shore","Vanishing Creek - shore","Wap Creek","Yard Creek","ETS"
2003,200.2932,NA,0,0,261.252,1088.55,343047.0984,0,0,NA,NA,NA,0,6.7732,0,0,NA,0,39.6716,397.6696,0,0,0,1.9352,NA,NA,0,156.7512,12922.8573,4962.9518,0,0,110.8548,3.8704,0,34.8336,0,12.1878,85.2,0,0,NA,117.0134,6.7932,139.2,0,349.2504,303.052,10.6436,1.2,0,0,0,0,NA,NA,NA,NA,6.6,NA,1.9352,0,6.7732,0,NA,0,NA,0,6.1586,0,364281.3697
2004,0,NA,0,0,0,7,2665,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,3,NA,0,0,NA,NA,NA,NA,0,175,144,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,2994
2005,51.3084,NA,0,0,3.9468,0,12206.4657,0,0,NA,0,NA,0,0,0,0,NA,0,0,79.9227,0,0,107,0,NA,NA,0,11.1996,7830.5072,382,NA,NA,0,2,0,0,NA,0,3,0,0,NA,2,0,45,7.8936,6,79.3305,0,NA,0,NA,0,0,NA,NA,NA,NA,0,NA,1,0,34.5345,0,NA,0,NA,0,NA,0,20853.109
2006,5.2,NA,108,4.7875,374.3825,1565.088,1199617.758,351.4025,1625.6556,19.6724,67,NA,0,247.9925,4.813,99,21.4893,0,55.896,49722.6972,2720.8483,1167.7743,156.332,648.6374,NA,102.3252,205.1888,2228.666,267579.18,607348.452,0,0,65283.42,32.8104,4.1013,749.1314,0,0,271.6069,19.752,151.4071,NA,1481.8304,0,4025.4256,44.2796,2802.501,4503.516,403.526,0,72.3681,0,668.2608,181.2368,NA,NA,NA,NA,367,NA,1892.02,90.9625,1050.516,374.4514,72.6336,123.0471,NA,50.1704,3746.5758,0,2224510.7887
2007,0,NA,0,0,54.9492,74.8446,49940.2962,0,0,NA,NA,NA,0,0,0,0,NA,0,0,115.5828,72.9498,0,0,0,NA,NA,1.8948,179.0586,1326.6513,4437.5688,0,0,288.0036,0,0,0,0,0,0,0,0,NA,17.0532,0,20.8428,0,303.168,15.1584,10.4214,0,6.6318,0,34.1064,0,NA,NA,NA,NA,0,NA,2,1.8948,0,0,NA,0,NA,0,1.7392,0,56904.8157
2008,0,NA,0,0,0,0,149,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,2,0,0,0,0,NA,NA,0,0,2,11,NA,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,0,0,NA,0,NA,0,0,NA,164
2009,NA,NA,0,NA,2.9685,0,15888.4015,NA,16.8232,NA,0.9605,NA,0,0,0,NA,NA,NA,0,98.9315,66.3032,0,29.685,39.584,NA,NA,0,49.475,14195.3836,543.643,NA,0,30.736,NA,NA,0,0,0,0,0,0,NA,0.9605,0,452.296,0,10.8845,300.3192,0,NA,0,0,0,0,NA,NA,NA,NA,0,NA,0,0,164.5728,0,NA,0.9605,NA,0,4.8025,0,31897.691
2010,1954.368,NA,610.8795,17.63,1415.689,3350.5488,2910421.904,122.5285,2510.6559,219.3591,2265.5644,18.6948,45.838,333.207,111.3216,599.2966,0,1001.218,767.556,216249.1305,4552.4831,3146.4288,568.8072,3050.5454,85.8576,563.6136,293.6,2986.4232,301817.0268,1751102.478,141.942,0,250830.1136,25.5635,0,4298.9171,633.809,0,1733.032,142.3665,541.9854,0,1941.2946,560.3702,9714.96,340.9224,15356.1816,2217.384,894.313,0,9.6408,NA,1296.9153,264.6396,NA,NA,NA,NA,584.563,7.6164,4188.888,154.2625,1080.4752,643.578,NA,1224.8258,363.33,41.7659,13130.323,48.386,5522595.0178
2011,NA,NA,2.1324,0,0,2.1324,78988.8939,1.0662,15.4599,0,0,0,NA,0,0,0,0,0,6.9303,1626.105,5.8641,0,0,2.1324,0,0,0,7.995,2108.9436,7064.76,0,0,493.452,0,0,13.3275,0,NA,0,0,0,NA,20.8475,NA,22.9233,4.1695,153.5328,7.4634,11.7282,0,0,0,0,0,NA,NA,NA,NA,0,0,12.2613,2.1324,0,5.8373,0,0,0,0,9.492,0,90589.5824
2012,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,0,NA,0,2,9,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,11
2013,0,NA,NA,NA,26.3547,0,111464.7634,NA,42.9484,0,7.6736,NA,NA,0,0,0,NA,NA,0,599.5,148.3672,11.7132,0,6.8327,NA,NA,0,532.9506,30153.6812,2306.876,NA,0,38.368,NA,NA,0,0,0,386.5356,0,7.8088,NA,30.6944,0,1688.653,8.6328,622.2357,52.7094,2.8776,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,73.8584,0,564.1858,0,NA,0.9592,NA,0,1.9184,0,148781.0981
2014,231.0891,NA,1042.086,83.5635,190.7214,439.9395,683620.5387,163.1946,2416.9975,168.3916,5631.1854,13.1292,118.9551,318.5244,94.4877,135.366,21.5694,1564.4046,4.8345,186378.4494,3497.364,1522.8675,708.7377,1618.6408,6.5646,164.115,640.1624,2624.1666,207352.8184,780801.9642,192.8718,4.8345,185917.896,132.7185,NA,1501.5957,19.092,0,1986.0126,592.2528,417.4916,NA,3153.5711,216.524,7789.943,559.1334,3502.3213,2177.9345,532.7619,0,0,NA,1653.4315,403.9579,NA,NA,NA,NA,778.3545,0,7657.3659,216.282,1044.252,690.6369,1361.3744,347.4744,0,24.91,5126.202,0,2109576.025
2015,0,NA,0,1.394,0,0,3823.045,0,9.5004,0,0,NA,0,0,0,0,0,0,0,649.1708,0,0,0,0,NA,0,0,2.788,159.613,1423.5715,NA,0,162.104,0,NA,0,0,0,0,0,0,NA,0,0,0,0,80.155,2.788,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,0,0,1.6994,0,0,NA,0,6.4415,0,6322.2706
2016,NA,NA,NA,NA,NA,0,36,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,0,0,NA,NA,NA,NA,0,2,7,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,49
2017,0,NA,0,NA,0,0,13412.042,NA,0,0,0,NA,0,0,0,NA,NA,0,0,26.5181,0,2.751,0,0,NA,NA,NA,0,244.839,69.0704,NA,0,3.0835,NA,NA,0,0,NA,0,0,0,NA,0,NA,0,0,9.17,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,NA,13767.474
2018,8.8974,NA,2472.0528,12.8856,2162.7984,356.256,530101.2472,396.48,2273.78,13.8404,689.2315,0,113.988,495.6,6.8936,197.72,0,992.5776,0,177045.1212,4509.0046,589.2056,13.8572,804.7204,0,0,598.7584,1843.9974,127067.535,447748.75,48.4855,48.4414,176863.7448,67.4016,10.9032,402.3602,22.8091,0,574.084,1542.0402,733.5412,0,2284.736,0,3691.006,269.8352,1890.2032,485.9918,789.8914,44.541,8.9082,NA,441.1904,1228.0456,NA,NA,NA,NA,621.8294,NA,5101.9375,192.2928,443.8875,88.632,0,0,0,30.6466,3616.7299,17.7246,1502077.0386
2019,NA,NA,0,0,71.3736,0,1942.948,0,0,0,0,NA,0,0,0,0,NA,0,0,517,22.7999,0,0,0,NA,NA,0,0,332.0855,1905.2786,NA,0,292.4335,0,0,0,3.9652,0,0,0,0,NA,30.7303,0,37.6694,0,22.7999,0,1.9826,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,39.652,0,0,0,0,0,NA,0,0,0,5220.7185
2020,0,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
2021,NA,NA,0,0,0,0,27617.9041,0,0,0,0,NA,0,0,0,0,0,0,0,61.38,0,0,0,0,NA,0,0,80.19,1709.0625,18,NA,0,9.9,0,0,0,3.96,NA,3.96,0,0,NA,0,NA,70,0,4.95,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,22.77,0,0,0,0,1.98,NA,0,1.98,0,29606.0366
2022,4.9105,NA,287.7553,0,438.0166,450.7839,339959.562,30.4451,848.5344,0,49.74,0,65.8007,132.5835,0,0,NA,1.9958,39.284,40222.7063,247.4892,1.9642,0,81.5143,0,NA,100.7879,959.5117,125979.53,169933.841,NA,0,10951.7932,10.8031,0,26.5167,0,NA,0,163.6556,37.3198,NA,348.2671,NA,576.4927,33.9286,1426.9913,770.9485,505.7815,12.7673,6.8747,NA,39.916,14.9685,NA,NA,NA,NA,167,NA,1971.099,49.105,5853.87,129.727,0,48.7452,NA,15.7136,129.324,0,703128.3648
