"Year","Adams Channel","Adams Lake","Adams Lake - misc. east side shore","Adams Lake - misc. north end shore","Adams Lake - misc. south end shore","Adams River - shore","Adams River, lower","Adams River, upper","Anstey River","Anstey River - shore","Bessette Creek","Blurton Creek","Bush Creek","Bush Creek - shore","Canoe Creek","Celista Creek","Cooke Creek","Crazy Creek","Cruikshank Pt. West - shore","Eagle River","Four Mile Creek - shore","Hiuihill Creek","Hlina Creek - shore","Hunakwa Creek","Johnson Creek","Kingfisher Creek","Knight Creek - shore","Lee Creek - shore","Little River","Lower Shuswap River","Mara Lake - shore","McNomee Creek","Middle Shuswap River","Momich River","Momich River - shore","Nikwikwaia Creek","Noisy Creek","Onyx Creek","Onyx Creek - shore","Perry River","Queest Creek - shore","Reinecker Creek","Reinecker Creek - shore","Ross Creek","Ross Creek - shore","Salmon River","Scotch Creek","Scotch Creek - shore","Seymour River","Shuswap L. - Main Arm north side","Shuswap L. - Main Arm south side","Shuswap L. - Salmon Arm east side","Shuswap L. - Salmon Arm north side","Shuswap L. - Salmon Arm south side","Shuswap Lake","Shuswap Lake - Anstey Arm","Shuswap Lake - Main Arm","Shuswap Lake - Salmon Arm","Shuswap Lake - Seymour Arm","Sicamous Creek","Sinmax Creek","Sinmax Creek - shore","South Thompson River","Tappen Creek","Trinity Creek","Tsuius Creek","Tsuius Creek - Shore","Vanishing Creek - shore","Wap Creek","Yard Creek","ETS"
1961,NA,NA,NA,NA,NA,NA,885.381,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,174.033,30.432,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,4,NA,NA,NA,NA,NA,NA,NA,1093.846
1962,NA,NA,NA,NA,NA,NA,964668.882,NA,986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9142,NA,NA,NA,0,NA,NA,NA,NA,65314.5232,30614.3409,NA,NA,454,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4015,4393.176,NA,4,NA,NA,NA,NA,NA,29090.61,NA,NA,NA,NA,NA,935,NA,14274.672,NA,NA,NA,NA,NA,NA,NA,1120138.6056
1963,NA,NA,NA,NA,NA,NA,152773.952,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,2347.731,1997.888,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,43.965,NA,NA,NA,NA,NA,NA,NA,157163.536
1964,NA,NA,NA,NA,NA,NA,600.376,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,600.376
1965,NA,NA,NA,NA,NA,NA,1551.375,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,148,287.62,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,72,NA,NA,NA,NA,NA,NA,NA,2058.995
1966,NA,NA,NA,NA,NA,NA,1080043.79,NA,1221.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8859.396,NA,NA,NA,0,NA,NA,NA,NA,52089.6,24415,NA,NA,1872,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4308.668,NA,0,NA,NA,NA,NA,NA,19960.64,NA,NA,NA,NA,NA,310.954,NA,4200.862,NA,NA,NA,NA,NA,NA,NA,1197282.382
1967,NA,NA,NA,NA,NA,NA,658935.207,NA,143.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.2835,NA,NA,NA,0,NA,NA,NA,NA,63769.0971,5873.637,NA,NA,57.246,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8413.335,NA,0,NA,NA,NA,NA,NA,207.0195,NA,NA,NA,NA,NA,0,NA,235.845,NA,NA,NA,NA,NA,NA,NA,737687.9241
1968,NA,NA,NA,NA,NA,NA,3461.753,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,3476.753
1969,NA,NA,NA,NA,NA,NA,4206.372,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,0,NA,NA,NA,NA,548.1154,932.3667,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,8,NA,50.9436,NA,NA,NA,NA,NA,NA,NA,5756.7977
1970,NA,NA,NA,NA,NA,NA,1165705.072,NA,348.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8816.038,NA,NA,NA,562.121,NA,NA,NA,NA,154577.638,28738.5221,NA,NA,4549.4261,330.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2641.625,NA,49,NA,NA,NA,NA,NA,35004.0177,NA,NA,NA,NA,NA,507,NA,5450.589,NA,NA,NA,NA,NA,0,NA,1407279.6289
1971,NA,NA,NA,NA,NA,NA,278954.7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,0,NA,NA,NA,NA,2640.456,6117,NA,NA,284,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,313,NA,0,NA,NA,NA,NA,NA,249,NA,NA,NA,NA,NA,2,NA,10,NA,NA,NA,NA,NA,NA,NA,288890.156
1972,NA,NA,NA,NA,NA,NA,4069.844,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,74.85,39,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,4183.694
1973,NA,NA,NA,NA,NA,NA,807.003,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,189.297,2771.3686,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,13.9482,NA,NA,NA,NA,NA,NA,NA,3781.6168
1974,NA,NA,NA,NA,NA,NA,835268.2176,NA,1082.5116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4235.5864,NA,NA,NA,358.948,NA,NA,NA,NA,111416.6347,85692.15,NA,NA,3038.856,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,4433.4329,NA,142.9828,NA,NA,NA,NA,NA,NA,10852,13075.8,5645,NA,NA,171,NA,13919.7474,NA,NA,NA,NA,NA,0,NA,1089424.8674
1975,NA,NA,NA,NA,NA,NA,143159.016,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454,NA,NA,NA,0,NA,NA,NA,NA,7116.1421,11453.481,NA,NA,226,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,158.6805,NA,0,NA,NA,NA,NA,NA,NA,56.976,362.5098,0,NA,NA,2,NA,16,NA,NA,NA,NA,NA,NA,NA,163004.8054
1976,NA,NA,NA,NA,NA,NA,4590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,30,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4780
1977,NA,NA,NA,NA,NA,NA,5169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,913.4574,6243.2662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,12365.7236
1978,NA,743.2327,NA,NA,NA,NA,1483732.1762,NA,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8017,NA,NA,NA,935,NA,NA,NA,NA,79900.2505,185300.0868,NA,NA,10890,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,434,5947.8804,NA,149,NA,NA,NA,NA,NA,NA,15736,62282,21014,1282,NA,547,NA,9864.4615,NA,NA,NA,NA,NA,NA,NA,1887280.0881
1979,NA,NA,NA,NA,NA,NA,269627.4953,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,NA,NA,NA,41,NA,NA,NA,NA,10218.456,9809.8624,NA,NA,564.3014,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,313,NA,86,NA,NA,NA,NA,NA,NA,364.2252,1703.634,3.9164,23.4984,NA,4,NA,144,NA,NA,NA,NA,NA,NA,NA,293159.3891
1980,NA,NA,NA,NA,NA,NA,2464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,16,18,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2500
1981,NA,NA,NA,NA,NA,NA,5184.8622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,938,4049.3275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,21,NA,NA,NA,NA,NA,NA,NA,10210.1897
