"","Year","Check.Natural.Returns","Total_Spawners","Natural_Origin_Spawners","Hatchery_Origin_Spawners","Ret.Nat","Ret.Hat","Ret.Total","PF.Nat","PF.Hat","PF.Total"
"1",1975,0,8335,8335,0,8335.407285598,0,8335.407285598,26089,0,26089
"2",1976,0,5658,5658,0,5657.725050172,0,5657.725050172,17708,0,17708
"3",1977,0,12731,12731,0,12730.549289106,0,12730.549289106,39846,0,39846
"4",1978,0,11647,11647,0,11646.697878654,0,11646.697878654,36453,0,36453
"5",1979,0,14659,14659,0,14658.571847648,0,14658.571847648,45880,0,45880
"6",1980,0,9579,9579,0,9578.938146376,0,9578.938146376,29983,0,29983
"7",1981,0,5459,5459,0,5459.401966554,0,5459.401966554,17089,0,17089
"8",1982,0,7781,7781,0,7781.428455955,0,7781.428455955,24354,0,24354
"9",1983,0,7986,7986,0,7986.047117959,0.005500067,7986.052618026,24996,0,24996
"10",1984,0,16946,16946,0,16946.002675681,0,16946.002675681,53040,0,53040
"11",1985,0,18294,18294,0,18294.287566215,5e-05,18294.287616215,57260,0,57260
"12",1986,0,16884,15918,966,16785.646686112,1018.65562032,17804.302306432,48958,2971,51929
"13",1987,-1,23281,16459,6822,17130.191623769,7100.740041669,24230.931665438,37017,15342,52358
"14",1988,0,27552,23029,4524,23948.99423436,4704.27065643,28653.26489079,83145,16333,99478
"15",1989,0,18610,14343,4267,15194.003496673,4520.08826948,19714.091766153,42821,12739,55560
"16",1990,0,10320,7799,2521,8405.88848286,2717.41086903,11123.29935189,31908,10315,42222
"17",1991,0,4613,2843,1770,3179.494718758,1979.36504988,5158.859768638,9857,6136,15993
"18",1992,0,13566,11398,2168,11885.225104356,2260.45171772,14145.676822076,64122,12194,76316
"19",1993,1,2534,1806,728,1949.76220559,785.380959452,2735.143165042,15657,6313,21970
"20",1994,0,4918,4857,61,4888.449916273,61.65264427,4950.102560543,8627,109,8736
"21",1995,1,4055,3024,1032,3133.941391399,1069.177156215,4203.118547614,7147,2441,9588
"22",1996,0,1373,1313,60,1367.669542527,62.350761342,1430.020303869,8287,378,8665
"23",1997,0,1420,1420,0,1454.103993086,2.78e-05,1454.104020886,2444,0,2444
"24",1998,0,5155,5106,49,5279.826743258,50.97361069,5330.800353948,5680,55,5735
"25",1999,0,3137,3092,45,3317.617292643,48.229291141,3365.846583784,3647,53,3700
"26",2000,0,3307,3253,54,3386.364395299,56.35863503,3442.723030329,3512,58,3570
"27",2001,0,13063,12674,389,12894.091453867,395.739977732,13289.831431599,13880,426,14306
"28",2002,0,10544,9587,957,9748.3634446,973.3358214,10721.699266,10575,1056,11631
"29",2003,0,3422,3342,79,3385.03612972,80.46387028,3465.5,3887,92,3979
"30",2004,0,15850,15461,389,15705.0894656,394.9305344,16100.02,18081,455,18535
"31",2005,0,2302,2025,277,2205.01111497,301.59888503,2506.61,2534,347,2881
"32",2006,0,2003,2001,2,2020.037060227,1.972939773,2022.01,2229,2,2232
"33",2007,0,12345,11845,500,11988.2880252,505.7119748,12494,13500,578,14078
"34",2008,0,6688,6405,282,6605.446697624,291.053302376,6896.5,7323,323,7646
"35",2009,0,3821,3651,170,3743.32051281,174.67948719,3918,4230,197,4427
"36",2010,0,8946,8454,492,8617.4707556,501.5292444,9119,9619,595,10215
"37",2011,0,4771,3801,970,3987.7341714,1017.2858286,5005.02,4560,1163,5724
"38",2012,0,13303,12830,473,12999.438589557,479.69474373,13479.133333287,14638,617,15255
"39",2013,0,13132,12203,928,12313.941218105,936.6610163,13250.602234405,14698,1132,15829
"40",2014,0,2287,2024,263,2080.771467706,270.31806849,2351.089536196,3051,397,3447
"41",2015,0,2392,1965,427,2094.197180831,454.7657473,2548.962928131,2548,559,3107
"42",2016,0,14909,13931,978,14020.763131211,984.4749984,15005.238129611,15124,1076,16201
"43",2017,0,2795,2291,504,2445.173913627,537.4265663,2982.600479927,2708,650,3358
"44",2018,0,6155,5591,564,5886.866213068,594.3936142,6481.259827268,6946,760,7706
"45",2019,0,8193,7655,539,7885.446495806,555,8440.446495806,10071,709,10780
"46",2020,0,15188,13728,1460,13934.165963331,1481.9098304,15416.075793731,16146,1913,18060
"47",2021,-1,20280,17625,2654,17882.59386893,2693.092772538,20575.686641468,19761,2975,22736
