"","DataSet","Year","Pop_Name","CU_Name","Escapement_Wild","Escapement_Total","Recruits_Total","Recruits_Wild","Pop_ID","CU_ID","DU_ID"
"51","Sk_Fraser",2019,"Sowchea Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45538,NA,NA
"52","Sk_Fraser",2019,"Tildesley Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45078,"L-06-14",NA
"53","Sk_Fraser",2019,"Van Decar Creek","Takla-Trembleur - Early Stuart",10,10,NA,NA,45569,"L-06-14",NA
"54","Sk_Fraser",2019,"Big Silver Creek","Harrison (D/S) - Late",50,50,NA,NA,46072,"L-03-03",NA
"55","Sk_Fraser",2019,"Birkenhead River","Lillooet-Harrison - Late",3058,3058,NA,NA,46098,"L-04-01",NA
"56","Sk_Fraser",2019,"Cogburn Creek","Harrison (D/S) - Late",0,0,NA,NA,46065,"L-03-03",NA
"57","Sk_Fraser",2019,"Crazy Creek","Harrison (D/S) - Late",0,0,NA,NA,3091,"L-03-03",NA
"58","Sk_Fraser",2019,"Douglas Creek","Harrison (D/S) - Late",0,0,NA,NA,46083,"L-03-03",NA
"59","Sk_Fraser",2019,"Green River","Lillooet-Harrison - Late",4,4,NA,NA,46107,"L-04-01",NA
"60","Sk_Fraser",2019,"Harrison River","Harrison River - Summer",3820,3820,NA,NA,46030,"R-03",NA
"61","Sk_Fraser",2019,"Miller Creek","Lillooet-Harrison - Late",0,0,NA,NA,46117,"L-04-01",NA
"62","Sk_Fraser",2019,"Pemberton Creek","Lillooet-Harrison - Late",0,0,NA,NA,46112,"L-04-01",NA
"63","Sk_Fraser",2019,"Poole Creek","Lillooet-Harrison - Late",0,0,NA,NA,46102,"L-04-01",NA
"64","Sk_Fraser",2019,"Railroad Creek","Lillooet-Harrison - Late",0,0,NA,NA,46147,"L-04-01",NA
"65","Sk_Fraser",2019,"Sakwi Creek","Harrison (U/S) - Late",0,0,NA,NA,NA,NA,NA
"66","Sk_Fraser",2019,"Sampson Creek","Lillooet-Harrison - Late",4,4,NA,NA,46152,"L-04-01",NA
"67","Sk_Fraser",2019,"Sloquet Creek","Harrison (D/S) - Late",9,9,NA,NA,46093,"L-03-03",NA
"68","Sk_Fraser",2019,"Taillefer Creek","Lillooet-Harrison - Late",0,0,NA,NA,7743,"L-04-01",NA
"69","Sk_Fraser",2019,"Tipella Creek","Harrison (D/S) - Late",0,0,NA,NA,46078,"L-03-03",NA
"70","Sk_Fraser",2019,"Weaver Channel","Harrison (U/S) - Late",1724,1724,NA,NA,45087,"L-03-04",NA
"71","Sk_Fraser",2019,"Weaver Creek","Harrison (U/S) - Late",99,99,NA,NA,46044,"L-03-04",NA
"72","Sk_Fraser",2019,"Adams Lake - misc. east side shore","Shuswap Complex - Late",0,0,NA,NA,3408,"L-09-03",NA
"73","Sk_Fraser",2019,"Adams Lake - misc. north end shore","Shuswap Complex - Late",0,0,NA,NA,3409,"L-09-03",NA
"74","Sk_Fraser",2019,"Adams Lake - misc. south end shore","Shuswap Complex - Late",72,72,NA,NA,3410,"L-09-03",NA
"75","Sk_Fraser",2019,"Adams River - shore","Shuswap Complex - Late",0,0,NA,NA,3393,"L-09-03",NA
"76","Sk_Fraser",2019,"Adams River, lower","Shuswap Complex - Late",1960,1960,NA,NA,46239,"L-09-03",NA
"77","Sk_Fraser",2019,"Adams River, upper","Shuswap Complex - Late",0,0,NA,NA,46249,"L-09-03",NA
"78","Sk_Fraser",2019,"Anstey River","Shuswap Complex - Late",0,0,NA,NA,46349,"L-09-03",NA
"79","Sk_Fraser",2019,"Anstey River - shore","Shuswap Complex - Late",0,0,NA,NA,3439,"L-09-03",NA
"80","Sk_Fraser",2019,"Bessette Creek","Shuswap Complex - Late",0,0,NA,NA,431,"L-09-03",NA
"81","Sk_Fraser",2019,"Bush Creek","Shuswap Complex - Late",0,0,NA,NA,45012,"L-09-03",NA
"82","Sk_Fraser",2019,"Bush Creek - shore","Shuswap Complex - Late",0,0,NA,NA,3407,"L-09-03",NA
"83","Sk_Fraser",2019,"Canoe Creek","Shuswap Complex - Late",0,0,NA,NA,46419,"L-09-03",NA
"84","Sk_Fraser",2019,"Celista Creek","Shuswap Complex - Late",0,0,NA,NA,46318,"L-09-03",NA
"85","Sk_Fraser",2019,"Crazy Creek","Shuswap Complex - Late",0,0,NA,NA,811,"L-09-03",NA
"86","Sk_Fraser",2019,"Cruikshank Pt. West - shore","Shuswap Complex - Late",0,0,NA,NA,3394,"L-09-03",NA
"87","Sk_Fraser",2019,"Eagle River","Shuswap Complex - Late",517,517,NA,NA,46359,"L-09-03",NA
"88","Sk_Fraser",2019,"Four Mile Creek - shore","Shuswap Complex - Late",23,23,NA,NA,3390,"L-09-03",NA
"89","Sk_Fraser",2019,"Hiuihill Creek","Shuswap Complex - Late",0,0,NA,NA,44984,"L-09-03",NA
"90","Sk_Fraser",2019,"Hlina Creek - shore","Shuswap Complex - Late",0,0,NA,NA,3395,"L-09-03",NA
"91","Sk_Fraser",2019,"Hunakwa Creek","Shuswap Complex - Late",0,0,NA,NA,46339,"L-09-03",NA
"92","Sk_Fraser",2019,"Knight Creek - shore","Shuswap Complex - Late",0,0,NA,NA,3402,"L-09-03",NA
"93","Sk_Fraser",2019,"Lee Creek - shore","Shuswap Complex - Late",0,0,NA,NA,3396,"L-09-03",NA
"94","Sk_Fraser",2019,"Little River","Shuswap Complex - Late",335,335,NA,NA,46228,"L-09-03",NA
"95","Sk_Fraser",2019,"Lower Shuswap River","Shuswap Complex - Late",1922,1922,NA,NA,46429,"L-09-03",NA
"96","Sk_Fraser",2019,"McNomee Creek","Shuswap Complex - Late",0,0,NA,NA,45015,"L-09-03",NA
"97","Sk_Fraser",2019,"Middle Shuswap River","Shuswap Complex - Late",295,295,NA,NA,46440,"L-09-03",NA
"98","Sk_Fraser",2019,"Momich River","Shuswap Complex - Late",0,0,NA,NA,46269,"L-09-03",NA
"99","Sk_Fraser",2019,"Momich River - shore","Shuswap Complex - Late",0,0,NA,NA,3411,"L-09-03",NA
"100","Sk_Fraser",2019,"Nikwikwaia Creek","Shuswap Complex - Late",0,0,NA,NA,45009,"L-09-03",NA
"101","Sk_Fraser",2019,"Noisy Creek","Shuswap Complex - Late",4,4,NA,NA,46509,"L-09-03",NA
"102","Sk_Fraser",2019,"Onyx Creek","Shuswap Complex - Late",0,0,NA,NA,46299,"L-09-03",NA
"103","Sk_Fraser",2019,"Onyx Creek - shore","Shuswap Complex - Late",0,0,NA,NA,3399,"L-09-03",NA
"104","Sk_Fraser",2019,"Perry River","Shuswap Complex - Late",0,0,NA,NA,45027,"L-09-03",NA
"105","Sk_Fraser",2019,"Queest Creek - shore","Shuswap Complex - Late",0,0,NA,NA,3391,"L-09-03",NA
"106","Sk_Fraser",2019,"Reinecker Creek - shore","Shuswap Complex - Late",31,31,NA,NA,3406,"L-09-03",NA
"107","Sk_Fraser",2019,"Ross Creek","Shuswap Complex - Late",0,0,NA,NA,46309,"L-09-03",NA
"108","Sk_Fraser",2019,"Ross Creek - shore","Shuswap Complex - Late",38,38,NA,NA,3400,"L-09-03",NA
"109","Sk_Fraser",2019,"Salmon River","Shuswap Complex - Late",1,1,NA,NA,46400,"L-09-03",NA
"110","Sk_Fraser",2019,"Scotch Creek","Shuswap Complex - Late",23,23,NA,NA,46289,"L-09-03",NA
"111","Sk_Fraser",2019,"Scotch Creek - shore","Shuswap Complex - Late",0,0,NA,NA,3401,"L-09-03",NA
"112","Sk_Fraser",2019,"Seymour River","Shuswap Complex - Late",2,2,NA,NA,46329,"L-09-03",NA
"113","Sk_Fraser",2019,"Shuswap L. - Main Arm south side","Shuswap Complex - Late",0,0,NA,NA,3398,"L-09-03",NA
