"DU_ID","CU_Name","CU_acro","CU_ID","Year","AllSitesInfilled","LowUnkSitesInfilled","ModHighSitesInfilled","AllSitesInfilledAdj","LowUnkSitesInfilledAdj","ModHighSitesInfilledAdj","TotalER","MarineSurvival","Hatch_Rel_from_Within_CU","Hatch_Rel_from_Outside_CU"
"DU_Ok","Okanagan_1.x","OK","CK-01",1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1975,NA,NA,NA,NA,NA,NA,0.6218932,0.003726898,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1976,NA,NA,NA,NA,NA,NA,0.5187243,0.005643264,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1977,NA,NA,NA,NA,NA,NA,0.5014486,0.003356951,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DU_Ok","Okanagan_1.x","OK","CK-01",1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
