"","CU_name","Return.Year","TribDeme","Estimate"
"117","Fraser Canyon",2013,"Nahatlatch R",5398
"118","Fraser Canyon",2014,"Fraser R",NA
"119","Fraser Canyon",2014,"Kwoiek Cr",NA
"120","Fraser Canyon",2014,"Nahatlatch R",1048
"121","Fraser Canyon",2015,"Fraser R",NA
"122","Fraser Canyon",2015,"Kwoiek Cr",NA
"123","Fraser Canyon",2015,"Nahatlatch R",352
"124","Fraser Canyon",2016,"Fraser R",NA
"125","Fraser Canyon",2016,"Kwoiek Cr",NA
"126","Fraser Canyon",2016,"Nahatlatch R",1160
"127","Fraser Canyon",2017,"Fraser R",NA
"128","Fraser Canyon",2017,"Kwoiek Cr",NA
"129","Fraser Canyon",2017,"Nahatlatch R",1657
"130","Fraser Canyon",2018,"Fraser R",NA
"131","Fraser Canyon",2018,"Kwoiek Cr",NA
"132","Fraser Canyon",2018,"Nahatlatch R",4916
"133","Fraser Canyon",2019,"Fraser R",NA
"134","Fraser Canyon",2019,"Kwoiek Cr",NA
"135","Fraser Canyon",2019,"Nahatlatch R",3259
"136","Lower Thompson",1975,"Bonaparte R",NA
"137","Lower Thompson",1975,"Brook Cr",NA
"138","Lower Thompson",1975,"Clapperton Cr",NA
"139","Lower Thompson",1975,"Coldwater R",NA
"140","Lower Thompson",1975,"Deadman R",NA
"141","Lower Thompson",1975,"Guichon Cr",NA
"142","Lower Thompson",1975,"Juliet Cr",NA
"143","Lower Thompson",1975,"Kamloops Lake",NA
"144","Lower Thompson",1975,"Maka Cr",NA
"145","Lower Thompson",1975,"Nicola R (DAM)",NA
"146","Lower Thompson",1975,"Nicola R (DOT)",NA
"147","Lower Thompson",1975,"Nooaitch Cr",NA
"148","Lower Thompson",1975,"Quilchena Cr",NA
"149","Lower Thompson",1975,"Skuhun Cr",NA
"150","Lower Thompson",1975,"Spahomin Cr",NA
"151","Lower Thompson",1975,"Spius Cr",NA
"152","Lower Thompson",1975,"Thompson R",NA
"153","Lower Thompson",1975,"Tranquille R",NA
