Year,Spawners,Run,Age3,Age4,Age5,Age6,RunAge3,RunAge4,RunAge5,RunAge6,RecAge3,RecAge4,RecAge5,RecAge6,RecAll,Rec45,Rec35,Rec,RpS,RpS35,RpS45,RpS4,lnRpS
1991,19737.56439,39630,0.154,0.827,0.016,0.003,6103.0199999999995,32774.009999999995,634.08,118.89,313.74199999999996,2991.0600000000004,1500.265,0,4805.067000000001,4491.325000000001,4805.067000000001,4805.067000000001,0.2434478188420492,0.2434478188420492,0.2275521392231922,0.15154149422384736,-1.412852655760787
1992,33184.31818,60783,0.169,0.8029999999999999,0.028,0,10272.327000000001,48808.748999999996,1701.924,0,2161.08,19826.578999999998,1223.048,0,23210.707,21049.626999999997,23210.707,23210.707,0.6994480608008682,0.6994480608008682,0.6343245290085991,0.5974683250219486,-0.35746373952637844
1993,17151.424,39915,0,0.888,0.11,0.002,0,35444.520000000004,4390.65,79.83,1754.156,34748.952,1213.124,0,37716.232,35962.076,37716.232,37716.232,2.199014612431015,2.199014612431015,2.096739955819412,2.026009735401562,0.7880093565851138
1994,1976.704,2194,0.143,0.14200000000000002,0.715,0,313.74199999999996,311.54800000000006,1568.71,0,0,6057.942,0,0,6057.942,6057.942,6057.942,6057.942,3.064668255844072,3.064668255844072,3.064668255844072,3.064668255844072,1.1199393272639993
1995,4581.290136,5220,0.414,0.5730000000000001,0.013,0,2161.08,2991.0600000000004,67.86,0,406.93399999999997,14595.964,1472.28,0,16475.178,16068.244,16475.178,16475.178,3.5961874299418963,3.5961874299418963,3.5073622326896436,3.185994243260039,1.2798742370369252
1996,17034.93753,23081,0.076,0.859,0.065,0,1754.156,19826.578999999998,1500.265,0,1878.036,62571.9,1835.394,1450.259,67735.589,64407.294,66285.33,66285.33,3.8911401866467545,3.8911401866467545,3.780894052976313,3.6731511277810953,1.3587022217899936
1997,11995.86628,35972,0,0.966,0.034,0,0,34748.952,1223.048,0,9569.82,78755.08799999999,5298.471,0,93623.379,84053.559,93623.379,93623.379,7.80463676525744,7.80463676525744,7.006876955617414,6.565185553235426,2.0547180141602124
1998,3708.12834,7678,0.053,0.789,0.158,0,406.93399999999997,6057.942,1213.124,0,2753.0910000000003,7323.09,4010.28,0,14086.461000000001,11333.37,14086.461000000001,14086.461000000001,3.7988062193122474,3.7988062193122474,3.0563586156783344,1.9748750120121246,1.3346868645634415
1999,5648,16474,0.114,0.886,0,0,1878.036,14595.964,0,0,287.18,28943.76,1824.8799999999997,0,31055.82,30768.64,31055.82,31055.82,5.498551699716714,5.498551699716714,5.4477053824362605,5.124603399433427,1.704484730237464
2000,21838,73614,0.13,0.85,0.02,0,9569.82,62571.9,1472.28,0,1917.96,86955.53199999999,1945.977,0,90819.469,88901.50899999999,90819.469,90819.469,4.15878143602894,4.15878143602894,4.07095471196996,3.9818450407546475,1.4252221073310432
2001,39024,83427,0.033,0.944,0.022,0,2753.0910000000003,78755.08799999999,1835.394,0,2372.344,56846.115999999995,3165.03,66.801,62450.29099999999,60011.14599999999,62383.48999999999,62383.48999999999,1.5985929171791715,1.5985929171791715,1.5378009942599424,1.4566962894628945,0.46912381556013866
2002,3560,14359,0.02,0.51,0.369,0.101,287.18,7323.09,5298.471,1450.259,235.876,24301.926,3429.118,0,27966.92,27731.043999999998,27966.92,27966.92,7.855876404494381,7.855876404494381,7.789619101123595,6.826383707865168,2.0612618383029453
2003,17753,34872,0.055,0.83,0.115,0,1917.96,28943.76,4010.28,0,55.044000000000004,13271.132,2504.516,0,15830.692,15775.648,15830.692,15830.692,0.8917192587168365,0.8917192587168365,0.8886187123303103,0.7475430631442573,-0.11460392832098588
2004,41791,91244,0.026,0.953,0.019999999999999997,0,2372.344,86955.53199999999,1824.8799999999997,0,5477.682,169233.724,13126.913,0,187838.319,182360.637,187838.319,187838.319,4.4947074489722665,4.4947074489722665,4.363634203536646,4.049525591634562,1.5029005821508825
2005,31260,58969,0.004,0.964,0.033,0,235.876,56846.115999999995,1945.977,0,7155.76,118954.191,26008.340000000004,0,152118.291,144962.53100000002,152118.291,152118.291,4.866228119001919,4.866228119001919,4.637317050543826,3.805316410748561,1.5823191234519505
2006,20819,27522,0.002,0.883,0.115,0,55.044000000000004,24301.926,3165.03,0,3247.896,313811.155,4100,0,321159.05100000004,317911.155,321159.05100000004,321159.05100000004,15.42624770642202,15.42624770642202,15.270241366059851,15.073305874441617,2.7360704551050423
2007,13490,22267,0.246,0.596,0.154,0.003,5477.682,13271.132,3429.118,66.801,2395.505,80600,5249.478,0,88244.98300000001,85849.478,88244.98300000001,88244.98300000001,6.541510971089696,6.541510971089696,6.363934618235731,5.974796145292809,1.8781681741193703
2008,126972,178894,0.04,0.946,0.014,0,7155.76,169233.724,2504.516,0,15300,397748.91,12736.557,0,425785.46699999995,410485.46699999995,425785.46699999995,425785.46699999995,3.3533808004914465,3.3533808004914465,3.2328817928362152,3.132571826859465,1.2099690311194364
2009,64024,135329,0.024,0.879,0.097,0,3247.896,118954.191,13126.913,0,1211.4180000000001,68224.50300000001,13724.830000000002,0,83160.75100000002,81949.33300000001,83160.75100000002,83160.75100000002,1.2988996470073726,1.2988996470073726,1.2799783362489068,1.0656082562788955,0.2615174806683209
2010,182122,342215,0.007,0.917,0.07600000000000001,0,2395.505,313811.155,26008.340000000004,0,17771.94,350963.51,9362.08,0,378097.53,360325.59,378097.53,378097.53,2.076067306530787,2.076067306530787,1.9784846970711942,1.9270791557307738,0.7304753860356892
