Takla_Trem_EStu_Drift,Takla_Trem_Dust_Sinta,Takla_Trem_EStu_Beav,Takla_Trem_EStu_Main,Takla_Trem_EStu_Low,Takla_Trem_EStu_Upper,Takla_Trem_EStu_Sand,Takla_Trem_EStu,Bowron_ES,Kamloops_ES,Anderson_Seton_ES,Nadina_Francois_ES,North_Barriere_ES,Pitt_ES,Shuswap_ES,Chilliwack_ES,Chilko_S_ES,Takla_Trem_S_S,Quesnel_S_Horse,Quesnel_S_McKin,Quesnel_S_Mitchell,Quesnel_S_Little,Quesnel_S_Lake,Quesnel_S,Fran_Fras_S,Harrison_R,Shuswap_L_Stocks,Shuswap_L_Lakes,Shuswap_L,Seton_L,Harrison_US_L,Lillooet_Harr_L,Harrison_DS_L,Nahatlatch_ES,Taseko_ES,Widgeon_RT
,,,,,,,,,,,,,,,,,,,,,,"North Arm - shore, Bowling to Goose Pt.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"North Arm - shore, Roaring to Deception Pt.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,North Arm - unnamed cove,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Opa Beach,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Penfold Camp Shore,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Quartz Point,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Quesnel Lake,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Roaring Point,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Roaring R. - Shore,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Slate Bay,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Slate Bay, 1 km east",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Tasse Creek - shore,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Wasko Creek - shore,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Watt Cr. - Shore,,,,,,,,,,,,,
