Year,Watershed Group Name,Stock Name(stream),Timing Group,CU Name,spnpeak,arrival,Total,jacks,males,females,spawn%,eff_fem,remarks,Estimate Method,Survey Start,Survey End,Number Inspections,est_type,Forecast
1938,Harrison-Lillooet,Trout Lake Creek,T4,Harrison (D/S) - Late,,,2520,0,1260,1260,93.75,1181,Minimum.,Peak Live + Cummulative Dead,10/26/1938,11/7/1938,2,"Type-4: Relative Abundance, medium resolution",28
1938,Harrison-Lillooet,Weaver Creek,T4,Harrison (U/S) - Late,,,18012,0,9898,8114,98.91,8025,,Peak Live + Cummulative Dead,10/28/1938,11/6/1938,4,"Type-4: Relative Abundance, medium resolution",13
1938,Late South Thompson,"Adams River, lower",T4,Shuswap Complex - Late,Oct 15-20,,620000,1751,342213,276036,88.09,243160,Minimum.,Mark & Recapture: Petersen,10/30/1938,11/10/1938,5,"Type-2: True Abundance, medium resolution",9
1938,Late South Thompson,Scotch Creek,T4,Shuswap Complex - Late,Nov 1-5,,2039,34,986,1019,48.07,490,,Peak Live + Cummulative Dead,11/3/1938,11/9/1938,4,"Type-4: Relative Abundance, medium resolution",9
1938,Late South Thompson,Shuswap Lake,T4,Shuswap Complex - Late,Oct 15-20,,1130,3,624,503,88.09,443,"Minimum.  Adams R. age, sex ratio & % spawn used.",Peak Live + Cummulative Dead,11/9/1938,,1,"Type-4: Relative Abundance, medium resolution",9
1938,Lower Fraser,Spuzzum Creek,T4,CU not identified,,,7,0,3,4,0,0,"Observed Aug 9, blocked fish",Peak Live + Cummulative Dead,7/31/1938,10/31/1938,9,"Type-3: Relative Abundance, high resolution",
1938,Lower Fraser,Kawkawa Creek/Lake,T4,Kawkawa - Late,,,31,0,15,16,100,16,"Based on Oct 30 count, blocked fish",Peak Live + Cummulative Dead,10/30/1938,,1,"Type-4: Relative Abundance, medium resolution",
1938,Lower Fraser,Upper Pitt River,T2,Pitt - Early Summer,,,8457,0,5278,3179,91.03,2894,,Peak Live + Cummulative Dead,9/21/1938,9/22/1938,2,"Type-4: Relative Abundance, medium resolution",18
1938,Lower Fraser,Widgeon Slough,T3,Widgeon - Summer,,,400,0,200,200,98.42,197,Minimum.  25-year avg. % spawn used.,,,,,,27
1938,Nechako,Early Nadina River,T2,Francois (First Run) - Early Summer (extirpated?),Sep 4-8,1-Sep,54,0,27,27,88.55,24,,Peak Live + Cummulative Dead,8/11/1938,10/13/1938,5,"Type-3: Relative Abundance, high resolution",17
1938,Nechako,Endako River,T2,Fraser - Early Summer,Aug 25-31,,117,0,49,68,91.05,62,,Peak Live + Cummulative Dead,8/9/1938,10/19/1938,8,"Type-3: Relative Abundance, high resolution",
1938,Nechako,Nithi River,T3,Francois-Fraser - Summer,Aug 27-30,13-Aug,90,0,31,59,79.8,47,,Peak Live + Cummulative Dead,8/8/1938,10/19/1938,7,"Type-3: Relative Abundance, high resolution",
1938,Nechako,Ormond Creek,T3,Francois-Fraser - Summer,Sep 15-18,12-Sep,11,0,4,7,81.39,6,,Peak Live + Cummulative Dead,8/7/1938,10/19/1938,8,"Type-3: Relative Abundance, high resolution",
1938,North Thompson,Finn Creek,T3,Kamloops - Summer,,,0,0,0,0,0,0,Two surveys; sockeye present,Adults Present,9/7/1938,9/11/1938,2,"Type-4: Relative Abundance, medium resolution",26
1938,North Thompson,Lion Creek,T3,Kamloops - Summer,,,0,0,0,0,0,0,Two surveys; no sockeye observed.,Peak Live + Cummulative Dead,9/1/1938,9/11/1938,2,"Type-4: Relative Abundance, medium resolution",26
1938,Harrison-Lillooet,Ryan River,T4,Lillooet-Harrison - Late,,,0,0,0,0,0,0,One survey; no sockeye observed.,Peak Live + Cummulative Dead,10/18/1938,,1,"Type-4: Relative Abundance, medium resolution",28
1938,Harrison-Lillooet,Miller Creek,T4,Lillooet-Harrison - Late,,,0,0,0,0,0,0,Two surveys; no sockeye observed.,Peak Live + Cummulative Dead,10/18/1938,10/24/1938,2,"Type-4: Relative Abundance, medium resolution",28
1938,Harrison-Lillooet,Green River,T4,Lillooet-Harrison - Late,,,0,0,0,0,0,0,Two surveys; no sockeye observed.,Peak Live + Cummulative Dead,10/19/1938,10/22/1938,2,"Type-4: Relative Abundance, medium resolution",28
1938,Nechako,Stellako River,T3,Francois-Fraser - Summer,,13-Sep,6943,0,3124,3819,91.05,3477,,Peak Live + Cummulative Dead,8/8/1938,10/25/1938,24,"Type-3: Relative Abundance, high resolution",3
1938,North Thompson,Raft River,T3,Kamloops - Summer,Sep 9-13,1-Sep,587,0,296,291,94.02,274,Minimum.,Peak Live + Cummulative Dead,9/7/1938,,1,"Type-4: Relative Abundance, medium resolution",5
1938,Upper Fraser,"Bowron River, upper",T2,Bowron - Early Summer,,,2205,0,1102,1103,88.28,974,Minimum.  16-year avg. % spawn.,Peak Live + Cummulative Dead,8/19/1938,10/30/1938,11,"Type-3: Relative Abundance, high resolution",4
1938,Quesnel,Quesnel River,T3,Middle Fraser - Summer,,,4,0,0,4,0,0,South Fork.  Minimum.,Peak Live + Cummulative Dead,9/30/1938,10/17/1938,3,"Type-4: Relative Abundance, medium resolution",
1938,Seton-Anderson,Gates River,T2,Anderson-Seton - Early Summer,,,13,0,6,7,78.3,5,20-year avg. % spawn. Surveys later than normal spawn timing.,Peak Live + Cummulative Dead,10/25/1938,11/4/1938,3,"Type-4: Relative Abundance, medium resolution",16
1938,Seton-Anderson,Portage Creek,T4,Seton - Late,,,56,0,28,28,97.04,27,20-year avg. % spawn.,Peak Live + Cummulative Dead,9/20/1938,11/1/1938,5,"Type-4: Relative Abundance, medium resolution",12
1938,Seton-Anderson,Seton Creek,T3,CU not identified,,,162,0,81,81,50,41,,Peak Live + Cummulative Dead,9/21/1938,11/3/1938,6,"Type-3: Relative Abundance, high resolution",
1938,Lower Fraser,Nahatlatch Lake,T2,Nahatlatch - Early Summer,,,0,0,0,0,0,0,Not inspected?,,,,,,24
1938,Harrison-Lillooet,Big Silver Creek,T4,Harrison (D/S) - Late,,,0,0,0,0,0,0,None Observed?,,,,,,28
