"","Year","CU_ID","Species","Stock","Metric","Compare","LBM","UBM","Value","Status","Confidence"
"1",2010,"CK-02","Chinook","Boundary Bay_FA_0.3","RelUBM",NA,NA,NA,NA,NA,NA
"2",2011,"CK-02","Chinook","Boundary Bay_FA_0.3","RelUBM",NA,NA,NA,NA,NA,NA
"3",2012,"CK-02","Chinook","Boundary Bay_FA_0.3","RelUBM",NA,NA,NA,NA,NA,NA
"4",2013,"CK-02","Chinook","Boundary Bay_FA_0.3","RelUBM",NA,NA,NA,NA,NA,NA
"5",2014,"CK-02","Chinook","Boundary Bay_FA_0.3","RelUBM",NA,NA,NA,NA,NA,NA
"6",2015,"CK-02","Chinook","Boundary Bay_FA_0.3","RelUBM",NA,NA,NA,NA,NA,NA
"7",2016,"CK-02","Chinook","Boundary Bay_FA_0.3","RelUBM",NA,NA,NA,NA,NA,NA
"8",2017,"CK-02","Chinook","Boundary Bay_FA_0.3","RelUBM",NA,NA,NA,NA,NA,NA
"9",2018,"CK-02","Chinook","Boundary Bay_FA_0.3","RelUBM",NA,NA,NA,NA,NA,NA
"10",2010,"CK-02","Chinook","Boundary Bay_FA_0.3","AbsUBM",NA,NA,NA,NA,NA,NA
"11",2011,"CK-02","Chinook","Boundary Bay_FA_0.3","AbsUBM",NA,NA,NA,NA,NA,NA
"12",2012,"CK-02","Chinook","Boundary Bay_FA_0.3","AbsUBM",NA,NA,NA,NA,NA,NA
"13",2013,"CK-02","Chinook","Boundary Bay_FA_0.3","AbsUBM",NA,NA,NA,NA,NA,NA
"14",2014,"CK-02","Chinook","Boundary Bay_FA_0.3","AbsUBM",NA,NA,NA,NA,NA,NA
"15",2015,"CK-02","Chinook","Boundary Bay_FA_0.3","AbsUBM",NA,NA,NA,NA,NA,NA
"16",2016,"CK-02","Chinook","Boundary Bay_FA_0.3","AbsUBM",NA,NA,NA,NA,NA,NA
"17",2017,"CK-02","Chinook","Boundary Bay_FA_0.3","AbsUBM",NA,NA,NA,NA,NA,NA
"18",2018,"CK-02","Chinook","Boundary Bay_FA_0.3","AbsUBM",NA,NA,NA,NA,NA,NA
"19",2010,"CK-02","Chinook","Boundary Bay_FA_0.3","RelLBM",NA,NA,NA,NA,NA,NA
"20",2011,"CK-02","Chinook","Boundary Bay_FA_0.3","RelLBM",NA,NA,NA,NA,NA,NA
"21",2012,"CK-02","Chinook","Boundary Bay_FA_0.3","RelLBM",NA,NA,NA,NA,NA,NA
"22",2013,"CK-02","Chinook","Boundary Bay_FA_0.3","RelLBM",NA,NA,NA,NA,NA,NA
"23",2014,"CK-02","Chinook","Boundary Bay_FA_0.3","RelLBM",NA,NA,NA,NA,NA,NA
"24",2015,"CK-02","Chinook","Boundary Bay_FA_0.3","RelLBM",NA,NA,NA,NA,NA,NA
"25",2016,"CK-02","Chinook","Boundary Bay_FA_0.3","RelLBM",NA,NA,NA,NA,NA,NA
"26",2017,"CK-02","Chinook","Boundary Bay_FA_0.3","RelLBM",NA,NA,NA,NA,NA,NA
"27",2018,"CK-02","Chinook","Boundary Bay_FA_0.3","RelLBM",NA,NA,NA,NA,NA,NA
"28",2010,"CK-02","Chinook","Boundary Bay_FA_0.3","AbsLBM",NA,NA,NA,NA,NA,NA
"29",2011,"CK-02","Chinook","Boundary Bay_FA_0.3","AbsLBM",NA,NA,NA,NA,NA,NA
"30",2012,"CK-02","Chinook","Boundary Bay_FA_0.3","AbsLBM",NA,NA,NA,NA,NA,NA
"31",2013,"CK-02","Chinook","Boundary Bay_FA_0.3","AbsLBM",NA,NA,NA,NA,NA,NA
"32",2014,"CK-02","Chinook","Boundary Bay_FA_0.3","AbsLBM",NA,NA,NA,NA,NA,NA
"33",2015,"CK-02","Chinook","Boundary Bay_FA_0.3","AbsLBM",NA,NA,NA,NA,NA,NA
"34",2016,"CK-02","Chinook","Boundary Bay_FA_0.3","AbsLBM",NA,NA,NA,NA,NA,NA
"35",2017,"CK-02","Chinook","Boundary Bay_FA_0.3","AbsLBM",NA,NA,NA,NA,NA,NA
"36",2018,"CK-02","Chinook","Boundary Bay_FA_0.3","AbsLBM",NA,NA,NA,NA,NA,NA
"37",2010,"CK-02","Chinook","Boundary Bay_FA_0.3","LongTrend",NA,NA,NA,NA,NA,NA
"38",2011,"CK-02","Chinook","Boundary Bay_FA_0.3","LongTrend",NA,NA,NA,NA,NA,NA
"39",2012,"CK-02","Chinook","Boundary Bay_FA_0.3","LongTrend",NA,NA,NA,NA,NA,NA
"40",2013,"CK-02","Chinook","Boundary Bay_FA_0.3","LongTrend",NA,NA,NA,NA,NA,NA
"41",2014,"CK-02","Chinook","Boundary Bay_FA_0.3","LongTrend",NA,NA,NA,NA,NA,NA
"42",2015,"CK-02","Chinook","Boundary Bay_FA_0.3","LongTrend",NA,NA,NA,NA,NA,NA
"43",2016,"CK-02","Chinook","Boundary Bay_FA_0.3","LongTrend",NA,NA,NA,NA,NA,NA
"44",2017,"CK-02","Chinook","Boundary Bay_FA_0.3","LongTrend",NA,NA,NA,NA,NA,NA
"45",2018,"CK-02","Chinook","Boundary Bay_FA_0.3","LongTrend",NA,NA,NA,NA,NA,NA
"46",2010,"CK-02","Chinook","Boundary Bay_FA_0.3","PercChange",NA,NA,NA,NA,NA,NA
"47",2011,"CK-02","Chinook","Boundary Bay_FA_0.3","PercChange",NA,NA,NA,NA,NA,NA
"48",2012,"CK-02","Chinook","Boundary Bay_FA_0.3","PercChange",NA,NA,NA,NA,NA,NA
"49",2013,"CK-02","Chinook","Boundary Bay_FA_0.3","PercChange",NA,NA,NA,NA,NA,NA
"50",2014,"CK-02","Chinook","Boundary Bay_FA_0.3","PercChange",NA,NA,NA,NA,NA,NA
"51",2015,"CK-02","Chinook","Boundary Bay_FA_0.3","PercChange",NA,NA,NA,NA,NA,NA
"52",2016,"CK-02","Chinook","Boundary Bay_FA_0.3","PercChange",NA,NA,NA,NA,NA,NA
"53",2017,"CK-02","Chinook","Boundary Bay_FA_0.3","PercChange",NA,NA,NA,NA,NA,NA
"54",2018,"CK-02","Chinook","Boundary Bay_FA_0.3","PercChange",NA,NA,NA,NA,NA,NA
"55",2010,"CK-20","Chinook","Southern Mainland-Georgia Strait_FA_0.x","RelUBM",NA,NA,NA,NA,NA,NA
"56",2011,"CK-20","Chinook","Southern Mainland-Georgia Strait_FA_0.x","RelUBM",NA,NA,NA,NA,NA,NA
"57",2012,"CK-20","Chinook","Southern Mainland-Georgia Strait_FA_0.x","RelUBM",NA,NA,NA,NA,NA,NA
"58",2013,"CK-20","Chinook","Southern Mainland-Georgia Strait_FA_0.x","RelUBM",NA,NA,NA,NA,NA,NA
"59",2014,"CK-20","Chinook","Southern Mainland-Georgia Strait_FA_0.x","RelUBM",NA,NA,NA,NA,NA,NA
"60",2015,"CK-20","Chinook","Southern Mainland-Georgia Strait_FA_0.x","RelUBM",NA,NA,NA,NA,NA,NA
"61",2016,"CK-20","Chinook","Southern Mainland-Georgia Strait_FA_0.x","RelUBM",NA,NA,NA,NA,NA,NA
"62",2017,"CK-20","Chinook","Southern Mainland-Georgia Strait_FA_0.x","RelUBM",NA,NA,NA,NA,NA,NA
"63",2018,"CK-20","Chinook","Southern Mainland-Georgia Strait_FA_0.x","RelUBM",NA,NA,NA,NA,NA,NA
"64",2010,"CK-20","Chinook","Southern Mainland-Georgia Strait_FA_0.x","AbsUBM",NA,NA,NA,NA,NA,NA
"65",2011,"CK-20","Chinook","Southern Mainland-Georgia Strait_FA_0.x","AbsUBM",NA,NA,NA,NA,NA,NA
"66",2012,"CK-20","Chinook","Southern Mainland-Georgia Strait_FA_0.x","AbsUBM",NA,NA,NA,NA,NA,NA
"67",2013,"CK-20","Chinook","Southern Mainland-Georgia Strait_FA_0.x","AbsUBM",NA,NA,NA,NA,NA,NA
"68",2014,"CK-20","Chinook","Southern Mainland-Georgia Strait_FA_0.x","AbsUBM",NA,NA,NA,NA,NA,NA
"69",2015,"CK-20","Chinook","Southern Mainland-Georgia Strait_FA_0.x","AbsUBM",NA,NA,NA,NA,NA,NA
"70",2016,"CK-20","Chinook","Southern Mainland-Georgia Strait_FA_0.x","AbsUBM",NA,NA,NA,NA,NA,NA
"71",2017,"CK-20","Chinook","Southern Mainland-Georgia Strait_FA_0.x","AbsUBM",NA,NA,NA,NA,NA,NA
"72",2018,"CK-20","Chinook","Southern Mainland-Georgia Strait_FA_0.x","AbsUBM",NA,NA,NA,NA,NA,NA
"73",2010,"CK-20","Chinook","Southern Mainland-Georgia Strait_FA_0.x","RelLBM",NA,NA,NA,NA,NA,NA
