"","Pop_Name","Year","SpnForTrend_Total","Pop_ID","CU_ID","CU_Name","DU_ID","SpnForAbd_Total","SpnForAbd_Wild","SpnForTrend_Wild","Species","Recruits_Total","Recruits_Wild"
"47","ANDERSON RIVER",1989,421,"47154","PKO-01","Fraser Pink",NA,421,421,421,"Pink",NA,NA
"48","ANDERSON RIVER",1965,31,"47154","PKO-01","Fraser Pink",NA,31,31,31,"Pink",NA,NA
"49","ANDERSON RIVER",1977,250,"47154","PKO-01","Fraser Pink",NA,250,250,250,"Pink",NA,NA
"50","ANDERSON RIVER",1981,100,"47154","PKO-01","Fraser Pink",NA,100,100,100,"Pink",NA,NA
"51","BIG SILVER CREEK",1987,354,"46074","PKO-01","Fraser Pink",NA,354,354,354,"Pink",NA,NA
"52","BIG SILVER CREEK",1991,211,"46074","PKO-01","Fraser Pink",NA,211,211,211,"Pink",NA,NA
"53","BIG SILVER CREEK",1989,26,"46074","PKO-01","Fraser Pink",NA,26,26,26,"Pink",NA,NA
"54","BIG SILVER CREEK",1969,91587,"46074","PKO-01","Fraser Pink",NA,91587,91587,91587,"Pink",NA,NA
"55","BIG SILVER CREEK",1965,34,"46074","PKO-01","Fraser Pink",NA,34,34,34,"Pink",NA,NA
"56","BIRKENHEAD RIVER",1981,17,"46100","PKO-01","Fraser Pink",NA,17,17,17,"Pink",NA,NA
"57","BONAPARTE RIVER",1985,73,"46202","PKO-01","Fraser Pink",NA,73,73,73,"Pink",NA,NA
"58","BONAPARTE RIVER",1987,0,"46202","PKO-01","Fraser Pink",NA,0,0,0,"Pink",NA,NA
"59","BONAPARTE RIVER",1961,8,"46202","PKO-01","Fraser Pink",NA,8,8,8,"Pink",NA,NA
"60","BONAPARTE RIVER",1959,3,"46202","PKO-01","Fraser Pink",NA,3,3,3,"Pink",NA,NA
"61","BONAPARTE RIVER",1963,1706,"46202","PKO-01","Fraser Pink",NA,1706,1706,1706,"Pink",NA,NA
"62","BONAPARTE RIVER",1957,814,"46202","PKO-01","Fraser Pink",NA,814,814,814,"Pink",NA,NA
"63","BONAPARTE RIVER",1969,900,"46202","PKO-01","Fraser Pink",NA,900,900,900,"Pink",NA,NA
"64","BONAPARTE RIVER",1967,2070,"46202","PKO-01","Fraser Pink",NA,2070,2070,2070,"Pink",NA,NA
"65","BONAPARTE RIVER",1991,1914,"46202","PKO-01","Fraser Pink",NA,1914,1914,1914,"Pink",NA,NA
"66","BONAPARTE RIVER",1971,614,"46202","PKO-01","Fraser Pink",NA,614,614,614,"Pink",NA,NA
"67","BONAPARTE RIVER",1977,611,"46202","PKO-01","Fraser Pink",NA,611,611,611,"Pink",NA,NA
"68","BONAPARTE RIVER",1979,1128,"46202","PKO-01","Fraser Pink",NA,1128,1128,1128,"Pink",NA,NA
"69","BONAPARTE RIVER",1975,1448,"46202","PKO-01","Fraser Pink",NA,1448,1448,1448,"Pink",NA,NA
