"CU_Name","Year","Pop_Name","SpnForTrend_Total","Pop_ID","SpnForTrend_Wild","SpnForAbd_Total","SpnForAbd_Wild","Recruits_Total","Recruits_Wild","CU_ID","DU_ID"
"Fraser Canyon",2017,"Nahatlatch R",1657,47159,NA,1657,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2018,"Fraser R",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2018,"Kwoiek Cr",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2018,"Nahatlatch R",4916,47159,NA,4916,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2019,"Fraser R",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2019,"Kwoiek Cr",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2019,"Nahatlatch R",3259,47159,NA,3259,NA,NA,NA,"CO_02",NA
"Lower Thompson",1998,"Bonaparte R",63,46200,NA,63,NA,NA,NA,"CO_03",NA
"Lower Thompson",1998,"Brook Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",1998,"Clapperton Cr",0,44965,NA,0,NA,NA,NA,"CO_03",NA
"Lower Thompson",1998,"Coldwater R",691,46190,NA,691,NA,NA,NA,"CO_03",NA
"Lower Thompson",1998,"Deadman R",131,46210,NA,131,NA,NA,NA,"CO_03",NA
"Lower Thompson",1998,"Guichon Cr",0,128,NA,0,NA,NA,NA,"CO_03",NA
"Lower Thompson",1998,"Juliet Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",1998,"Kamloops Lake",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",1998,"Maka Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",1998,"Nicola R (dam)",29,44736,NA,29,NA,NA,NA,"CO_03",NA
"Lower Thompson",1998,"Nicola R (dot)",3,46170,NA,3,NA,NA,NA,"CO_03",NA
"Lower Thompson",1998,"Nooaitch Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",1998,"Quilchena Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",1998,"Skuhun Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",1998,"Spahomin Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",1998,"Spius Cr",1271,46180,NA,1271,NA,NA,NA,"CO_03",NA
"Lower Thompson",1998,"Thompson R",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",1998,"Tranquille R",9,44975,NA,9,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Bonaparte R",42,46200,NA,42,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Brook Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Clapperton Cr",0,44965,NA,0,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Coldwater R",1812,46190,NA,1812,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Deadman R",1089,46210,NA,1089,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Guichon Cr",165,128,NA,165,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Juliet Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Kamloops Lake",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Maka Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Nicola R (dam)",3,44736,NA,3,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Nicola R (dot)",7,46170,NA,7,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Nooaitch Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Quilchena Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Skuhun Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Spahomin Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Spius Cr",1032,46180,NA,1032,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Thompson R",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Tranquille R",17,44975,NA,17,NA,NA,NA,"CO_03",NA
"Lower Thompson",2000,"Bonaparte R",62,46200,NA,62,NA,NA,NA,"CO_03",NA
"Lower Thompson",2000,"Brook Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2000,"Clapperton Cr",NA,44965,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2000,"Coldwater R",2870,46190,NA,2870,NA,NA,NA,"CO_03",NA
"Lower Thompson",2000,"Deadman R",773,46210,NA,773,NA,NA,NA,"CO_03",NA
"Lower Thompson",2000,"Guichon Cr",NA,128,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2000,"Juliet Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2000,"Kamloops Lake",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2000,"Maka Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2000,"Nicola R (dam)",NA,44736,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2000,"Nicola R (dot)",6,46170,NA,6,NA,NA,NA,"CO_03",NA
"Lower Thompson",2000,"Nooaitch Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2000,"Quilchena Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2000,"Skuhun Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2000,"Spahomin Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2000,"Spius Cr",1034,46180,NA,1034,NA,NA,NA,"CO_03",NA
"Lower Thompson",2000,"Thompson R",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
