"","Pop_Name","Pop_ID","MapPOP_ID","CU_ID","CU_Name.Check","Timing.Group","DU_ID"
"64","Bush Creek",45012,45012,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"65","Bush Creek - shore",3407,3407,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"66","Butterfield Creek",3077,NA,NA,NA,"t1",NA
"67","Cameron Creek",45061,45061,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"68","Canoe Creek",46419,46419,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"69","Cariboo River, lower",46883,NA,NA,NA,"t3",NA
"70","Cariboo River, upper",3443,NA,NA,NA,"t3",NA
"71","Casamir Creek",45573,45573,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"72","Cayenne Creek",46278,NA,NA,NA,"t2",NA
"73","Cayenne Creek",46279,NA,NA,NA,"t4",NA
"74","Cayoosh Creek",47201,NA,NA,NA,"t3",NA
"75","Celista Creek",46318,46318,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"76","Celista Creek",46319,46319,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"77","Chehalis River",46038,NA,NA,NA,"t3",NA
"78","Chilko Channel",45079,45079,"L-06-03","CHILKO-SUMMER TIMING","t3",NA
"79","Chilko River",46843,46843,"L-06-03","CHILKO-SUMMER TIMING","t3",NA
"80","Chilliwack Lake",45092,45092,"L-03-01","CHILLIWACK-EARLY SUMMER TIMING","t2",NA
"81","Chilliwack River",46981,NA,NA,NA,"t4",NA
"82","Chilliwack River, upper",46986,46986,"L-03-01","CHILLIWACK-EARLY SUMMER TIMING","t2",NA
"83","Churn Creek",47236,NA,NA,NA,"t3",NA
"84","Clearbrook Creek",45053,NA,NA,NA,"t3",NA
"85","Clearwater River",46680,46680,"L-10-01","KAMLOOPS-EARLY SUMMER TIMING","t3",NA
"86","Cogburn Creek",46065,46065,"L-03-03","HARRISON-DOWNSTREAM MIGRATING-LATE TIMING","t4",NA
"87","Consolidated Creek",45604,45604,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"88","Cooke Creek",3440,3440,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"89","Coquihalla River",47121,NA,NA,NA,"t4",NA
"90","Corbold Creek",7690,7690,"L-03-05","PITT-EARLY SUMMER TIMING","t2",NA
"91","Craigellachie Creek",3437,3437,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"92","Crazy Creek",810,810,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"93","Crazy Creek",3091,3091,"L-03-03","HARRISON-DOWNSTREAM MIGRATING-LATE TIMING","t4",NA
"94","Crazy Creek",811,811,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"95","Crow Creek",45583,45583,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"96","Cruikshank Pt. West - shore",3394,3394,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"97","Cultus Lake",45093,45093,"L-03-02","CULTUS-LATE TIMING","t4",NA
"98","Cypress Creek",7694,NA,NA,NA,"t2",NA
"99","Deadman River",46208,NA,NA,NA,"t4",NA
"100","Deception Point",45077,45077,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"101","Depot Creek",7726,7726,"L-03-01","CHILLIWACK-EARLY SUMMER TIMING","t2",NA
"102","Devoe Creek",45057,45057,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"103","Devoe Creek - Shore",3367,3367,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"104","Double T - Shore",3349,3349,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"105","Douglas Creek",46083,46083,"L-03-03","HARRISON-DOWNSTREAM MIGRATING-LATE TIMING","t4",NA
"106","Driftwood River",45598,45598,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"107","Dust Creek",45581,45581,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"108","Dust Creek",45582,45582,"L-06-13","TAKLA/TREMBLEUR/STUART-SUMMER TIMING","t3",NA
"109","Eagle River",46358,46358,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"110","Eagle River",46359,46359,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"111","Early Nadina River",45524,NA,NA,NA,"t2",NA
"112","East Arm - unnamed creek 1",3080,3080,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"113","East Arm - unnamed creek 2 - shore",3361,3361,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"114","East Arm - unnamed point",3362,3362,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"115","East Creek",46055,46055,"L-03-04","HARRISON-UPSTREAM MIGRATING-LATE TIMING","t4",NA
"116","Elkin Creek",46863,46863,"L-06-16","TASEKO-EARLY SUMMER TIMING","t2",NA
"117","Elysia - Shore",3350,3350,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"118","Elysia shore - 1 km west",3413,3413,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"119","Emory Creek",47144,NA,NA,NA,"t4",NA
"120","Endako River",45502,NA,NA,NA,"t2",NA
"121","Finn Creek",46782,46782,"L-10-01","KAMLOOPS-EARLY SUMMER TIMING","t3",NA
"122","Fish Hatchery Creek",7695,7695,"L-03-05","PITT-EARLY SUMMER TIMING","t2",NA
"123","Fleming Creek",45556,45556,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"124","Forfar Creek",45571,45571,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"125","Four Mile Creek",7636,7636,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"126","Four Mile Creek",7639,NA,NA,NA,"t4",NA
"127","Four Mile Creek - shore",3390,3390,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"128","Francois Lake",45806,45806,"L-06-07","FRANCOIS/FRASER-SUMMER TIMING","t3",NA
"129","Franks Creek",45068,45068,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"130","Franks Creek - shore",3351,3351,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"131","Fraser River (@ Tete Jaune)",1054,NA,NA,NA,"t2",NA
"132","French Creek",45595,45595,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"133","Frypan Creek",45593,45593,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"134","Gallagher Creek",47106,NA,NA,NA,"t3",NA
"135","Gallagher Creek",49808,NA,NA,NA,"t4",NA
"136","Gates Channel",45102,45102,"L-06-01","ANDERSON/SETON-EARLY SUMMER TIMING","t2",NA
"137","Gates River",47211,47211,"L-06-01","ANDERSON/SETON-EARLY SUMMER TIMING","t2",NA
"138","Glacier Creek",44732,NA,NA,NA,"t2",NA
"139","Gluske Creek",45572,45572,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"140","Goat River",1099,NA,NA,NA,"t2",NA
"141","Goose Creek",3078,3078,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"142","Goose Point - Shore",3368,3368,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"143","Goose Pt., .8 km south - shore",3369,3369,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"144","Goose Pt., 5 km south - shore",3370,3370,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"145","Grain Cr. - Shore",3371,3371,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"146","Grain Creek",45055,45055,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"147","Green River",46107,46107,"L-04-01","LILLOOET/HARRISON-LATE TIMING","t4",NA
"148","Grouse Creek",3441,3441,"L-10-01","KAMLOOPS-EARLY SUMMER TIMING","t3",NA
"149","Haggen Creek",7745,7745,NA,NA,"t2",NA
"150","Harper Creek",45028,45028,"L-10-03","NORTH BARRIERE-EARLY SUMMER TIMING","t2",NA
"151","Harrison Lake",45086,45086,"L-03-03","HARRISON-DOWNSTREAM MIGRATING-LATE TIMING","t4",NA
"152","Harrison River",46030,46030,"R-03","HARRISON RIVER","t3",NA
"153","Hawks Creek",3389,NA,NA,NA,"t3",NA
"154","Haylmore Creek",7688,7688,"L-06-01","ANDERSON/SETON-EARLY SUMMER TIMING","t2",NA
"155","Hazeltine Creek",45039,45039,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"156","Hemp Creek",3442,3442,"L-10-01","KAMLOOPS-EARLY SUMMER TIMING","t3",NA
"157","Hiuihill Creek",44983,44983,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"158","Hiuihill Creek",44984,44984,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"159","Hlina Creek",7640,NA,NA,NA,"t4",NA
"160","Hlina Creek - shore",3395,3395,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"161","Hooker Creek",45584,45584,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"162","Horsefly Channel",45100,45100,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"163","Horsefly Lake",45101,45101,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"164","Horsefly River",46893,46893,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"165","Horsefly River - Above Falls",46893,46893,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"166","Horsefly River, lower",46893,46893,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"167","Horsefly River, upper",45097,45097,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"168","Huckey Creek",3219,3219,"L-07-01","BOWRON-EARLY SUMMER TIMING","t2",NA
"169","Hudson Bay Creek",45592,45592,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"170","Hunakwa Creek",46338,46338,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"171","Hunakwa Creek",46339,46339,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"172","Hurricane Point",3352,3352,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"173","Indianpoint Creek",47439,NA,NA,NA,"t2",NA
"174","Isaiah Creek",45064,45064,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"175","Johnson Creek",7641,7641,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"176","Jones Creek",47099,NA,NA,NA,"t4",NA
"177","Junction Creek",3079,3079,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"178","Junction Shore",3353,3353,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"179","Kastberg Creek",45605,45605,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"180","Kawkawa Creek/Lake",47125,NA,NA,NA,"t4",NA
"181","Kazchek Creek",45559,45559,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"182","Kazchek Creek",45560,45560,"L-06-13","TAKLA/TREMBLEUR/STUART-SUMMER TIMING","t3",NA
"183","Killdog Creek",45072,45072,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"184","Killdog Creek - Shore",3354,3354,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"185","Kingfisher Creek",46490,46490,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"186","Knight Creek - shore",3402,3402,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"187","Kotsine River",45603,45603,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"188","Kuzkwa Creek",45554,45554,"L-06-13","TAKLA/TREMBLEUR/STUART-SUMMER TIMING","t3",NA
"189","Lastman Creek",7744,7744,"L-06-16","TASEKO-EARLY SUMMER TIMING","t2",NA
"190","Late Nadina Channel",45525,45525,"L-06-20","NADINA/FRANCOIS-EARLY SUMMER TIMING","t2",NA
"191","Late Nadina River",45525,45525,"L-06-20","NADINA/FRANCOIS-EARLY SUMMER TIMING","t2",NA
"192","Lee Creek - shore",3396,3396,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"193","Lemieux Creek",46640,46640,"L-10-01","KAMLOOPS-EARLY SUMMER TIMING","t3",NA
"194","Leo Creek",45575,45575,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"195","Lester Shore",3372,3372,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"196","Lillooet Slough",46025,46025,"L-04-01","LILLOOET/HARRISON-LATE TIMING","t4",NA
"197","Limestone Creek",3262,3262,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"198","Limestone Point - Shore",3373,3373,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"199","Limestone Pt, .5 km south - shore",3374,3374,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"200","Lion Creek",45601,45601,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"201","Lion Creek",46772,46772,"L-10-01","KAMLOOPS-EARLY SUMMER TIMING","t3",NA
"202","Little Horsefly River",46903,46903,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"203","Little River",46228,46228,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"204","Loftus Creek",45085,45085,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"205","Loftus Creek",3438,NA,NA,NA,"t4",NA
"206","Logger Landing",3375,3375,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"207","Long Cr. - Shore",3376,3376,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"208","Long Creek",45058,45058,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"209","Lost Valley Creek Shore",7644,7644,"L-06-01","ANDERSON/SETON-EARLY SUMMER TIMING","t4",NA
"210","Lovell Creek",45594,45594,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"211","Lower Shuswap River",46429,46429,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"212","Lynx Cr. - Shore",3355,3355,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"213","Lynx Creek",45069,45069,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"214","Maclaing Creek",45591,45591,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"215","Mann Creek",46670,46670,"L-10-01","KAMLOOPS-EARLY SUMMER TIMING","t3",NA
"216","Mara Lake - shore",3090,3090,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"217","Maria Slough",47092,NA,NA,NA,"t4",NA
"218","Marten Cr. - Shore",3377,3377,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"219","Marten Creek",45059,45059,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"220","McDougall Creek",45579,45579,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"221","McKinley Creek",45043,45043,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"222","McKinley Creek, lower",45043,45043,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"223","McKinley Creek, upper",45098,45098,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"224","McNomee Creek",45014,45014,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"225","McNomee Creek",45015,45015,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"226","Middle River",45552,45552,"L-06-13","TAKLA/TREMBLEUR/STUART-SUMMER TIMING","t3",NA
"227","Middle River (Rossette Bar)",45551,45551,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"228","Middle Shuswap River",46439,46439,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"229","Middle Shuswap River",46440,46440,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"230","Miller Creek",46117,46117,"L-04-01","LILLOOET/HARRISON-LATE TIMING","t4",NA
"231","Mitchell River",46913,46913,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"232","Moffat Creek",45042,45042,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"233","Momich River",46269,46269,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"234","Momich River - shore",3411,3411,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"235","Momich River, lower",46268,NA,NA,NA,"t2",NA
"236","Momich River, upper",45084,NA,NA,NA,"t2",NA
"237","Mystery Creek",46063,46063,"L-03-03","HARRISON-DOWNSTREAM MIGRATING-LATE TIMING","t4",NA
"238","N. End Chilko Lake",45080,45080,"L-06-03","CHILKO-SUMMER TIMING","t3",NA
"239","Nahatlatch Lake",45094,45094,"L-05-02","NAHATLATCH-EARLY SUMMER TIMING","t2",NA
"240","Nahatlatch River",47157,47157,"L-05-02","NAHATLATCH-EARLY SUMMER TIMING","t2",NA
"241","Nahounli Creek",45537,NA,NA,NA,"t1",NA
"242","Nancut Creek",3092,NA,NA,NA,"t1",NA
"243","Narrows Creek",45586,45586,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"244","Nechako River",45993,NA,NA,NA,"t3",NA
"245","Niagara Creek",45071,45071,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"246","Nikwikwaia Creek",45008,45008,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"247","Nikwikwaia Creek",45009,45009,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"248","Nithi River",45522,45522,"L-06-07","FRANCOIS/FRASER-SUMMER TIMING","t3",NA
"249","Noisy Creek",46509,46509,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"250","North Arm - shore, Bowling to Goose Pt.",3382,3382,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"251","North Arm - shore, Roaring to Deception Pt.",3383,3383,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"252","North Arm - unnamed cove",3386,3386,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
